stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1112.0,0.27772986681624434,1506715.0,114.50072479248047,254.0,1506715.0
20110511_2,0.0,0.0,1.0,367.0,0.7996903883311839,1334894.0,113.16497039794922,244.0,1334894.0
20110511_3,0.0,0.0,1.0,999.0,0.2601293840752523,1965219.0,132.5522003173828,228.0,1965219.0
20110511_4,0.0,0.0,1.0,2028.5,0.09874222221123055,1690353.0,140.0922393798828,251.0,1690353.0
20110511_5,0.0,0.0,1.0,701.5,0.3694539286011407,1285115.0,127.46627807617188,253.0,1285115.0
20110511_6,0.0,0.0,1.0,1243.5,0.22693300768896102,1499353.0,123.57644653320312,252.0,1499353.0
20110516_1,5.0,0.0,1.0,860.5,0.32135073078174725,1652510.0,116.54630279541016,252.0,1652510.0
20110516_2,5.0,0.0,1.0,1253.0,0.2803385098535691,1914933.0,117.52381134033203,248.0,1914933.0
20110516_3,5.0,0.0,1.0,1322.5,0.1846470450670697,2443109.0,116.82808685302734,235.0,2443109.0
20110516_5,5.0,0.0,1.0,1093.0,0.3428049984703219,1956599.0,122.81708526611328,253.0,1956599.0
20110516_6,5.0,0.0,1.0,2447.0,0.14713113883366052,1674495.0,116.32476806640625,248.0,1674495.0
20110516_7,5.0,0.0,1.0,1257.0,0.24293047022962327,2274116.0,135.89793395996094,246.0,2274116.0
20110519_1,8.0,0.0,1.0,4485.0,0.07714708879674609,2117201.0,109.46698760986328,254.0,2117201.0
20110519_10,8.0,0.0,1.0,2094.5,0.1590662741963834,2137770.0,105.8302001953125,201.0,2137770.0
20110519_4,8.0,0.0,1.0,1533.5,0.20460469587909152,1867156.0,108.12809753417969,255.0,1867156.0
20110519_5,8.0,0.0,1.0,2504.0,0.22129995250580317,1497860.0,88.07832336425781,224.0,1497860.0
20110519_7,8.0,0.0,1.0,2482.5,0.21736901089046057,2024323.0,93.50653839111328,244.0,2024323.0
20110519_8,8.0,0.0,1.0,1339.0,0.21414967662477827,1713707.0,92.96951293945312,245.0,1713707.0
20110523_2,12.0,0.0,1.0,3678.0,0.12596892071040122,2148314.0,103.14547729492188,250.0,2148314.0
20110523_3,12.0,0.0,1.0,5085.0,0.07068299916391256,2562244.0,103.24967956542969,253.0,2562244.0
20110523_4,12.0,0.0,1.0,1673.0,0.2500420885619517,2348434.0,122.46735382080078,248.0,2348434.0
20110523_6,12.0,0.0,1.0,2277.5,0.3248152235960984,2068178.0,111.0968017578125,246.0,2068178.0
20110523_7,12.0,0.0,1.0,2234.5,0.15015903512619067,2219846.0,111.02560424804688,225.0,2219846.0
20110523_9,12.0,0.0,1.0,2915.5,0.1312317529864695,2444858.0,103.80240631103516,215.0,2444858.0
