stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1149.0,0.2499069233643385,1507260.0,113.47286224365234,254.0,1507260.0
20110511_2,0.0,0.0,1.0,697.0,0.3745944005892112,1337502.0,112.47073364257812,244.0,1337502.0
20110511_3,0.0,0.0,1.0,1071.0,0.27218023645981104,1974096.0,131.3175048828125,228.0,1974096.0
20110511_4,0.0,0.0,1.0,2292.5,0.1276182779921112,1735256.0,137.75152587890625,251.0,1735256.0
20110511_5,0.0,0.0,1.0,728.0,0.4016941378626002,1291140.0,127.3690414428711,253.0,1291140.0
20110511_6,0.0,0.0,1.0,2022.5,0.19037482112850687,1526173.0,121.41392517089844,252.0,1526173.0
20110516_1,5.0,0.0,1.0,939.5,0.3545953633850237,1665878.0,114.89606475830078,252.0,1665878.0
20110516_2,5.0,0.0,1.0,1112.0,0.2508423732979742,1912816.0,116.7490234375,248.0,1912816.0
20110516_3,5.0,0.0,1.0,2990.0,0.09783088876784979,2505653.0,114.50749206542969,235.0,2505653.0
20110516_5,5.0,0.0,1.0,1485.5,0.1234295218969625,2016607.0,120.30825805664062,253.0,2016607.0
20110516_6,5.0,0.0,1.0,2270.0,0.18193698898578142,1661457.0,115.67618560791016,248.0,1661457.0
20110516_7,5.0,0.0,1.0,1296.5,0.2806186718165354,2324874.0,133.16192626953125,246.0,2324874.0
20110519_1,8.0,0.0,1.0,4871.0,0.11175801797650439,2214351.0,106.13262176513672,254.0,2214351.0
20110519_10,8.0,0.0,1.0,3592.0,0.09745751817712323,2212797.0,104.41661834716797,201.0,2212797.0
20110519_4,8.0,0.0,1.0,1937.5,0.26562971297384974,1934746.0,106.4919662475586,255.0,1934746.0
20110519_5,8.0,0.0,1.0,3562.5,0.16196109725708016,1561809.0,85.49425506591797,224.0,1561809.0
20110519_7,8.0,0.0,1.0,3011.5,0.20724524153814597,2073321.0,91.1790771484375,244.0,2073321.0
20110519_8,8.0,0.0,1.0,4154.0,0.15882066608407472,1794988.0,89.71800231933594,245.0,1794988.0
20110523_2,12.0,0.0,1.0,3286.0,0.1074953941715428,2194984.0,101.54911041259766,250.0,2194984.0
20110523_3,12.0,0.0,1.0,15861.5,0.03811417254266271,2684861.0,101.15518951416016,253.0,2684861.0
20110523_4,12.0,0.0,1.0,1993.5,0.17667610262409145,2403077.0,120.75157165527344,248.0,2403077.0
20110523_6,12.0,0.0,1.0,5114.0,0.10163266121227847,2137889.0,109.08709716796875,246.0,2137889.0
20110523_7,12.0,0.0,1.0,2480.5,0.14994015669102848,2247626.0,110.05366516113281,227.0,2247626.0
20110523_9,12.0,0.0,1.0,9413.0,0.04698642241023097,2542330.0,101.84392547607422,215.0,2542330.0
20110526_2,15.0,0.0,1.0,4901.0,0.0886875442721547,2497926.0,91.0787582397461,254.0,2497926.0
20110526_3,15.0,0.0,1.0,24399.0,0.045027642273782045,3451514.0,99.46439361572266,255.0,3451514.0
20110526_5,15.0,0.0,1.0,8978.0,0.052252697811734715,3397375.0,96.1748046875,253.0,3397375.0
20110526_6,15.0,0.0,1.0,11092.5,0.04898479970098189,2939360.0,102.463134765625,251.0,2939360.0
