stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,4.0,1366.5,0.15925027750812418,2101366.0,80.79069519042969,248.0,2101366.0
20110511_2,0.0,0.0,4.0,705.5,0.18831142446768984,1882425.0,74.4041519165039,244.0,1882425.0
20110511_3,0.0,0.0,1.0,1404.0,0.13295976120473724,2682057.0,97.45846557617188,228.0,2682057.0
20110511_4,0.0,0.0,4.0,2856.5,0.05696883121030469,2534101.0,99.56392669677734,251.0,2534101.0
20110511_5,0.0,0.0,4.0,823.0,0.17631693847176613,2233604.0,92.66143798828125,253.0,2233604.0
20110511_6,0.0,0.0,4.0,1786.5,0.1953476262965495,2219536.0,87.30768585205078,252.0,2219536.0
20110516_1,5.0,0.0,1.0,944.5,0.18727609265539133,2258442.0,83.66769409179688,252.0,2258442.0
20110516_2,5.0,0.0,1.0,1274.0,0.15574185912286773,2507464.0,88.73152160644531,241.0,2507464.0
20110516_3,5.0,0.0,1.0,2573.5,0.06929822069109953,3051191.0,96.0339584350586,235.0,3051191.0
20110516_5,5.0,0.0,1.0,1099.5,0.1827301197950366,2725042.0,96.25042724609375,253.0,2725042.0
20110516_6,5.0,0.0,4.0,1498.5,0.10564140611271224,2438997.0,91.55393981933594,245.0,2438997.0
20110516_7,5.0,0.0,1.0,1024.5,0.16450918852542354,3095536.0,106.93805694580078,246.0,3095536.0
20110519_1,8.0,0.0,1.0,4836.5,0.058636063746234264,2620111.0,84.79872131347656,254.0,2620111.0
20110519_10,8.0,0.0,1.0,2780.0,0.05766078852733654,2796229.0,88.535888671875,201.0,2796229.0
20110519_4,8.0,0.0,1.0,1732.5,0.17839121458235052,2588207.0,87.81620788574219,255.0,2588207.0
20110519_5,8.0,0.0,1.0,2733.0,0.14290011625691168,1797511.0,61.558597564697266,224.0,1797511.0
20110519_7,8.0,0.0,1.0,2772.0,0.0847167255668408,2369546.0,72.76581573486328,244.0,2369546.0
20110519_8,8.0,0.0,1.0,3995.0,0.0773112018405294,2076226.0,68.49970245361328,245.0,2076226.0
20110523_2,12.0,0.0,1.0,2747.5,0.08269183797273148,2669115.0,84.99012756347656,250.0,2669115.0
20110523_3,12.0,0.0,1.0,11687.5,0.026341380593777376,3104703.0,89.1336441040039,253.0,3104703.0
20110523_4,12.0,0.0,1.0,2011.5,0.09174075732942977,3046500.0,99.7968978881836,248.0,3046500.0
20110523_6,12.0,0.0,1.0,3549.0,0.05345269074039064,2697298.0,90.72036743164062,246.0,2697298.0
20110523_7,12.0,0.0,1.0,2283.5,0.08919677756203544,2841130.0,92.58415985107422,225.0,2841130.0
20110523_9,12.0,0.0,1.0,3466.5,0.06160469202055345,3023673.0,88.87928009033203,215.0,3023673.0
20110526_2,15.0,0.0,1.0,2678.0,0.09237489648115291,2642228.0,74.02235412597656,254.0,2642228.0
20110526_3,15.0,0.0,1.0,8433.0,0.04876890610589302,3659643.0,91.05175018310547,255.0,3659643.0
20110526_5,15.0,0.0,1.0,5758.0,0.03303865054335047,3550448.0,88.10482025146484,253.0,3550448.0
20110526_6,15.0,0.0,1.0,4681.5,0.05831761795046054,3337261.0,91.17202758789062,251.0,3337261.0
20110526_7,15.0,0.0,1.0,4895.0,0.04505532360633573,3292773.0,88.7013931274414,248.0,3292773.0
20110526_8,15.0,0.0,1.0,11730.0,0.0369273088231189,3543925.0,87.4913558959961,245.0,3543925.0
20110530_4,19.0,0.0,4.0,885.0,0.20506861703646942,2227092.0,88.2296142578125,230.0,2227092.0
20110530_5,19.0,0.0,4.0,1354.0,0.18213313598244396,2310378.0,93.3712387084961,252.0,2310378.0
20110530_6,19.0,0.0,4.0,1171.0,0.11565359764447444,2413813.0,91.87428283691406,250.0,2413813.0
20110530_7,19.0,0.0,4.0,1355.5,0.13579283798717223,2440563.0,92.02725982666016,252.0,2440563.0
20110530_8,19.0,0.0,4.0,1792.5,0.09782484311355298,2545653.0,94.45486450195312,254.0,2545653.0
20110530_9,19.0,0.0,4.0,799.0,0.20543042855809682,2079729.0,88.4276123046875,255.0,2079729.0
20110603_1,23.0,0.0,4.0,327.0,0.2029060435429092,1713808.0,90.14823150634766,227.0,1713808.0
20110603_10,23.0,0.0,4.0,1434.5,0.13120834357643163,2733705.0,121.4062728881836,255.0,2733705.0
20110603_3,23.0,0.0,4.0,787.0,0.21952808815675556,2479448.0,107.86305236816406,239.0,2479448.0
20110603_5,23.0,0.0,4.0,855.0,0.17530842524419787,2726588.0,111.63560485839844,254.0,2726588.0
20110603_6,23.0,0.0,4.0,854.0,0.15553435326431958,2674974.0,115.60955810546875,255.0,2674974.0
20110603_9,23.0,0.0,4.0,610.5,0.29740580397573024,2311402.0,104.50321197509766,236.0,2311402.0
20110607_1,27.0,0.0,4.0,609.0,0.2131568802188456,1862243.0,89.70342254638672,243.0,1862243.0
20110607_2,27.0,0.0,4.0,557.5,0.28637187414698617,1856672.0,88.11085510253906,253.0,1856672.0
20110607_3,27.0,0.0,4.0,774.5,0.2817319045448699,1888512.0,90.48497772216797,255.0,1888512.0
20110607_4,27.0,0.0,4.0,672.5,0.21449357750839573,1462278.0,70.08953857421875,252.0,1462278.0
20110607_7,27.0,0.0,4.0,1149.0,0.1963694569225189,2355903.0,96.45457458496094,250.0,2355903.0
20110607_9,27.0,0.0,4.0,1128.0,0.15478591013227153,2185551.0,95.59754180908203,255.0,2185551.0
20110610_1,30.0,0.0,4.0,990.0,0.08939754582011054,2969570.0,112.47518920898438,255.0,2969570.0
20110610_10,30.0,0.0,4.0,765.0,0.21676229403993125,1923277.0,74.68746948242188,246.0,1923277.0
20110610_3,30.0,0.0,4.0,1150.0,0.14690146343951174,2262277.0,75.15121459960938,252.0,2262277.0
20110610_4,30.0,0.0,4.0,1180.5,0.20058722489830588,2612598.0,94.73829650878906,255.0,2612598.0
20110610_6,30.0,0.0,4.0,1473.0,0.12638466674381313,2396285.0,89.84608459472656,253.0,2396285.0
