stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1145.0,0.272412452689629,1464718.0,114.78081512451172,254.0,1464718.0
20110511_2,0.0,0.0,1.0,358.5,0.811096972895445,1327782.0,113.60215759277344,244.0,1327782.0
20110511_3,0.0,0.0,1.0,1058.5,0.24876190004345938,1947475.0,132.44525146484375,228.0,1947475.0
20110511_4,0.0,0.0,1.0,2163.5,0.1179561854418881,1708503.0,139.56077575683594,251.0,1708503.0
20110511_5,0.0,0.0,1.0,762.0,0.48362721390115493,1279387.0,127.49247741699219,253.0,1279387.0
20110511_6,0.0,0.0,1.0,1423.0,0.40995303824864826,1488936.0,123.61444854736328,252.0,1488936.0
20110516_1,5.0,0.0,1.0,951.0,0.42157387918293543,1671386.0,115.77902221679688,252.0,1671386.0
20110516_2,5.0,0.0,1.0,1840.0,0.15301015692424863,1915905.0,116.93042755126953,248.0,1915905.0
20110516_3,5.0,0.0,1.0,2942.5,0.10074512658732093,2440595.0,115.97029876708984,235.0,2440595.0
20110516_5,5.0,0.0,1.0,1528.5,0.1193437130422803,1962384.0,121.91749572753906,253.0,1962384.0
20110516_6,5.0,0.0,1.0,2362.5,0.11692604308332691,1656011.0,116.41553497314453,248.0,1656011.0
20110516_7,5.0,0.0,1.0,1252.5,0.26348302317044564,2306042.0,134.63580322265625,246.0,2306042.0
20110519_1,8.0,0.0,1.0,4495.5,0.09336641478444203,2139657.0,107.7641372680664,230.0,2139657.0
20110519_10,8.0,0.0,1.0,2465.5,0.15067152658833421,2172637.0,105.20735168457031,201.0,2172637.0
20110519_4,8.0,0.0,1.0,1896.0,0.17485290244846152,1883821.0,107.80708312988281,255.0,1883821.0
20110519_5,8.0,0.0,1.0,3200.5,0.16858414491556478,1514577.0,87.11474609375,224.0,1514577.0
20110519_7,8.0,0.0,1.0,1826.5,0.21288974625030682,2046572.0,92.68475341796875,244.0,2046572.0
20110519_8,8.0,0.0,1.0,3964.0,0.12643845975154627,1761624.0,90.86624908447266,245.0,1761624.0
20110523_2,12.0,0.0,1.0,3734.0,0.11495192558535702,2171050.0,102.27294158935547,250.0,2171050.0
20110523_3,12.0,0.0,1.0,10554.5,0.043442747168559184,2612203.0,101.9078140258789,253.0,2612203.0
20110523_4,12.0,0.0,1.0,1979.5,0.1919301232586797,2339217.0,121.84056091308594,248.0,2339217.0
