stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,20327.0,0.35315892624851003,24978042.0,114.20832824707031,252.546875,24978042.0
20110511_2,0.0,0.0,1.0,12737.0,0.5238472458787266,22227294.0,111.88949584960938,251.671875,22227294.0
20110511_3,0.0,0.0,1.0,29827.0,0.21566639577185773,32852866.0,130.5555419921875,228.609375,32852866.0
20110511_4,0.0,0.0,1.0,52735.0,0.18586966715204636,28698220.0,136.9176788330078,251.390625,28698220.0
20110511_5,0.0,0.0,1.0,14682.0,0.3566837805137628,21122470.0,127.46109008789062,254.625,21122470.0
20110511_6,0.0,0.0,1.0,35772.5,0.3488921463095454,25317154.0,121.88702392578125,252.875,25317154.0
20110516_1,5.0,0.0,1.0,15895.5,0.5016362317928752,27075432.0,116.708984375,252.84375,27075432.0
20110516_2,5.0,0.0,1.0,22171.0,0.37442857287862547,31891096.0,116.21612548828125,250.109375,31891096.0
20110516_3,5.0,0.0,1.0,45474.5,0.1884309588684133,42031680.0,114.17523193359375,246.625,42031680.0
20110516_5,5.0,0.0,1.0,27200.5,0.1883264839280445,32951970.0,121.1808090209961,254.984375,32951970.0
20110516_6,5.0,0.0,1.0,42597.5,0.1858046757070138,27437426.0,115.88220977783203,254.796875,27437426.0
20110516_7,5.0,0.0,1.0,23013.5,0.42055191835310746,38346292.0,133.7095489501953,246.75,38346292.0
20110519_1,8.0,0.0,1.0,83736.0,0.16430321153121433,35882576.0,107.4625015258789,232.21875,35882576.0
20110519_10,8.0,0.0,1.0,60140.0,0.13283250350238557,35947940.0,105.56591033935547,201.203125,35947940.0
20110519_4,8.0,0.0,1.0,28058.0,0.345986101491603,31378544.0,107.92646789550781,254.53125,31378544.0
20110519_5,8.0,0.0,1.0,59230.5,0.19983271891837123,25358232.0,87.56173706054688,225.28125,25358232.0
20110519_7,8.0,0.0,1.0,56804.0,0.1644976766607541,33862040.0,92.94713592529297,246.6875,33862040.0
20110519_8,8.0,0.0,1.0,67125.5,0.1862969924524653,28777474.0,91.84046173095703,246.484375,28777474.0
20110523_2,12.0,0.0,1.0,64078.5,0.1442707475848528,35893472.0,102.82601165771484,254.234375,35893472.0
20110523_3,12.0,0.0,1.0,217353.5,0.04341168582236824,42115052.0,103.06885528564453,249.828125,42115052.0
20110523_4,12.0,0.0,1.0,35972.0,0.2688246836541031,39755192.0,121.15279388427734,253.46875,39755192.0
20110523_6,12.0,0.0,1.0,83523.5,0.1359265142238416,35088976.0,109.79542541503906,247.96875,35088976.0
