stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,22476.0,0.2720966656180991,24723938.0,115.00736236572266,252.546875,24723938.0
20110511_2,0.0,0.0,1.0,13003.0,0.5685979733326716,21893622.0,111.99530029296875,251.671875,21893622.0
20110511_3,0.0,0.0,1.0,29082.5,0.20564416279056588,32505906.0,131.01141357421875,228.609375,32505906.0
20110511_4,0.0,0.0,1.0,47446.0,0.13313192019765144,27815904.0,139.82969665527344,251.390625,27815904.0
20110511_5,0.0,0.0,1.0,14317.5,0.34867172802738056,21164780.0,126.81800842285156,254.625,21164780.0
20110511_6,0.0,0.0,1.0,34349.5,0.317267313208145,24843858.0,123.28724670410156,252.875,24843858.0
20110516_1,5.0,0.0,1.0,15943.5,0.5103807307971628,27441472.0,115.48668670654297,252.84375,27441472.0
20110516_2,5.0,0.0,1.0,21897.5,0.3766770438354078,31264002.0,116.94690704345703,250.109375,31264002.0
20110516_3,5.0,0.0,1.0,44432.0,0.19087970324927456,41277616.0,115.0284423828125,246.625,41277616.0
20110516_5,5.0,0.0,1.0,22507.0,0.2323514344230738,32349020.0,122.56250762939453,254.984375,32349020.0
20110516_6,5.0,0.0,1.0,23599.5,0.3079484169176772,26482296.0,117.14617156982422,254.796875,26482296.0
20110516_7,5.0,0.0,1.0,22800.0,0.427582043613324,38120296.0,133.3870391845703,246.75,38120296.0
20110519_1,8.0,0.0,1.0,104961.0,0.0969018842032603,36410860.0,106.29605865478516,232.21875,36410860.0
20110519_10,8.0,0.0,1.0,41761.5,0.19166992791576587,34838564.0,106.80813598632812,201.203125,34838564.0
20110519_4,8.0,0.0,1.0,27019.5,0.33567437425165003,30935822.0,108.57072448730469,254.53125,30935822.0
20110519_5,8.0,0.0,1.0,58796.0,0.22396552645952097,25024610.0,88.59491729736328,225.28125,25024610.0
20110519_7,8.0,0.0,1.0,56880.0,0.17088597032264255,33662584.0,92.69302368164062,246.6875,33662584.0
20110519_8,8.0,0.0,1.0,67796.0,0.20527911252366415,28896374.0,91.11953735351562,246.484375,28896374.0
20110523_2,12.0,0.0,1.0,61197.5,0.140050923094687,34966812.0,104.03473663330078,254.234375,34966812.0
20110523_3,12.0,0.0,1.0,230178.0,0.04266012059442085,42354268.0,102.10003662109375,249.828125,42354268.0
20110523_4,12.0,0.0,1.0,36108.0,0.27546850331180794,40071580.0,120.40702056884766,253.46875,40071580.0
20110523_6,12.0,0.0,1.0,83771.0,0.1449220772692478,34312856.0,110.77669525146484,247.96875,34312856.0
20110523_7,12.0,0.0,1.0,49552.0,0.17417032862539067,37061376.0,110.5511245727539,238.109375,37061376.0
20110523_9,12.0,0.0,1.0,52893.0,0.29494206817859714,40763932.0,103.9283676147461,216.203125,40763932.0
20110526_2,15.0,0.0,1.0,92667.0,0.13770173216150863,42351680.0,90.26435852050781,253.109375,42351680.0
20110526_3,15.0,0.0,1.0,447928.0,0.08197336969233512,59156976.0,97.98078918457031,253.734375,59156976.0
20110526_5,15.0,0.0,1.0,235977.5,0.10158021505794129,57901112.0,95.12068939208984,254.421875,57901112.0
20110526_6,15.0,0.0,1.0,198264.5,0.1386994597592318,48655952.0,101.97694396972656,250.859375,48655952.0
20110526_7,15.0,0.0,1.0,114996.0,0.1343696848086716,48663260.0,98.46019744873047,250.53125,48663260.0
20110526_8,15.0,0.0,1.0,347013.5,0.10919374405697874,56616752.0,95.2281494140625,246.296875,56616752.0
20110530_4,19.0,0.0,1.0,15143.0,0.46567988326967097,21995132.0,115.61964416503906,231.15625,21995132.0
20110530_5,19.0,0.0,1.0,21886.5,0.3780777056461821,22711574.0,122.780517578125,254.671875,22711574.0
20110530_6,19.0,0.0,1.0,21256.5,0.33569977785616095,25907570.0,116.45525360107422,252.609375,25907570.0
20110530_7,19.0,0.0,1.0,23355.0,0.4032714722127578,26187736.0,118.1271743774414,250.359375,26187736.0
20110530_8,19.0,0.0,1.0,28614.0,0.204831078649218,27423048.0,121.12438201904297,254.78125,27423048.0
20110530_9,19.0,0.0,1.0,13171.5,0.44994499131821614,18607382.0,120.4727783203125,254.15625,18607382.0
20110603_1,23.0,0.0,1.0,19400.0,0.5499693828075656,8667960.0,118.64813232421875,229.859375,8667960.0
20110603_10,23.0,0.0,1.0,22530.0,0.2670743432901045,20367722.0,156.2888641357422,254.609375,20367722.0
20110603_3,23.0,0.0,1.0,13132.5,0.435028228098758,19898618.0,141.6140594482422,239.765625,19898618.0
20110603_5,23.0,0.0,1.0,12879.0,0.43046941130354605,23839028.0,141.85336303710938,253.171875,23839028.0
20110603_6,23.0,0.0,1.0,14755.5,0.4296433897410235,20606092.0,148.3520050048828,254.25,20606092.0
20110603_9,23.0,0.0,1.0,10255.0,0.546579680022286,17140526.0,139.97982788085938,237.1875,17140526.0
20110607_1,27.0,0.0,1.0,14649.0,0.410308343624885,11731190.0,127.00492858886719,244.46875,11731190.0
20110607_2,27.0,0.0,1.0,10454.0,0.512244149338647,11692309.0,126.26139068603516,254.328125,11692309.0
20110607_3,27.0,0.0,1.0,12072.0,0.5739046832910843,12607310.0,130.1332550048828,254.625,12607310.0
20110607_4,27.0,0.0,1.0,11207.5,0.557406187861091,11970600.0,124.7756118774414,254.625,11970600.0
20110607_7,27.0,0.0,1.0,18473.5,0.3827757595956569,21307874.0,128.01983642578125,251.796875,21307874.0
20110607_9,27.0,0.0,1.0,11652.0,0.5867984073094836,17713474.0,131.13514709472656,254.609375,17713474.0
20110610_1,30.0,0.0,1.0,24016.5,0.2541578685605447,28466120.0,144.2813262939453,255.0,28466120.0
20110610_10,30.0,0.0,1.0,20267.5,0.377437228817171,21051896.0,108.8938217163086,249.71875,21051896.0
20110610_3,30.0,0.0,1.0,28939.5,0.24614429895695572,29002088.0,100.73458099365234,252.0,29002088.0
20110610_4,30.0,0.0,1.0,35736.5,0.21130283302528516,28392034.0,118.99877166748047,254.53125,28392034.0
20110610_6,30.0,0.0,1.0,14043.5,0.441302399866798,26355360.0,120.0897216796875,253.875,26355360.0
20110610_9,30.0,0.0,1.0,10968.0,0.5463307227429195,15374200.0,99.70301055908203,250.25,15374200.0
20110617_1,37.0,0.0,1.0,7176.5,0.47482752288248836,10786986.0,119.59368133544922,255.0,10786986.0
20110617_10,37.0,0.0,1.0,8193.0,0.5206730185672355,8056622.0,120.30555725097656,252.140625,8056622.0
20110617_3,37.0,0.0,1.0,14789.5,0.4710698660134126,15915715.0,110.74497985839844,224.0,15915715.0
20110617_6,37.0,0.0,1.0,16347.5,0.443559999066561,15042287.0,123.08656311035156,251.5,15042287.0
20110617_8,37.0,0.0,1.0,8357.5,0.562672092468264,10815297.0,116.54163360595703,254.953125,10815297.0
20110617_9,37.0,0.0,1.0,12019.0,0.47782942771803133,9140042.0,110.35762023925781,251.5,9140042.0
20110627_1,47.0,0.0,1.0,9250.0,0.5240620439960741,11876445.0,122.884765625,250.875,11876445.0
20110627_10,47.0,0.0,3.0,8209.0,0.6483681927079982,13347232.0,120.93061828613281,244.8125,13347232.0
20110627_3,47.0,0.0,3.0,6173.0,0.8818293766006173,15226848.0,136.43028259277344,254.171875,15226848.0
20110627_4,47.0,0.0,3.0,6398.0,0.8938856153001605,11120843.0,125.1698989868164,239.609375,11120843.0
20110627_5,47.0,0.0,1.0,16927.0,0.33216181014591983,9416899.0,95.25782012939453,231.53125,9416899.0
20110627_6,47.0,0.0,3.0,5012.0,0.84937218024251,8919056.0,119.45112609863281,232.140625,8919056.0
