stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,21759.0,0.23952793708083506,24860508.0,114.72105407714844,252.546875,24860508.0
20110511_2,0.0,0.0,1.0,13194.0,0.5723665951393104,22424894.0,111.15461730957031,251.671875,22424894.0
20110511_3,0.0,0.0,1.0,18619.5,0.41237985469209587,32925526.0,130.82037353515625,228.609375,32925526.0
20110511_4,0.0,0.0,1.0,47854.5,0.13177049485235806,28264958.0,138.7237548828125,251.390625,28264958.0
20110511_5,0.0,0.0,1.0,14287.0,0.3986738193618161,21479934.0,126.56400299072266,254.625,21479934.0
20110511_6,0.0,0.0,1.0,35356.5,0.32769120708686,25002800.0,123.14524841308594,252.875,25002800.0
20110516_1,5.0,0.0,1.0,16329.5,0.5056707003076237,27675206.0,115.36817169189453,252.84375,27675206.0
20110516_2,5.0,0.0,1.0,21568.5,0.37597796822768303,31648238.0,116.9773941040039,250.109375,31648238.0
20110516_3,5.0,0.0,1.0,44156.5,0.1807030980503875,40965536.0,115.87439727783203,246.625,40965536.0
20110516_5,5.0,0.0,1.0,26797.5,0.17935213074622466,32445568.0,122.75434112548828,254.984375,32445568.0
20110516_6,5.0,0.0,1.0,49926.5,0.1752308341605414,27429086.0,115.8156509399414,254.796875,27429086.0
20110516_7,5.0,0.0,1.0,22729.5,0.42018162326810365,37934800.0,134.8946075439453,246.75,37934800.0
20110519_1,8.0,0.0,1.0,84038.5,0.16069524045201775,36175652.0,107.40830993652344,245.375,36175652.0
20110519_10,8.0,0.0,1.0,58481.5,0.12511885255454325,35247448.0,106.4600601196289,201.203125,35247448.0
20110519_4,8.0,0.0,1.0,48312.0,0.1716894755094201,31176866.0,108.19364166259766,254.53125,31176866.0
20110519_5,8.0,0.0,1.0,58359.0,0.21215767672615363,25134920.0,88.40238189697266,225.28125,25134920.0
20110519_7,8.0,0.0,1.0,55432.5,0.160159061352968,33165482.0,94.14790344238281,246.6875,33165482.0
20110519_8,8.0,0.0,1.0,67189.0,0.18017527245856374,28829440.0,91.85681915283203,246.484375,28829440.0
20110523_2,12.0,0.0,1.0,62341.5,0.1432833734482462,35713456.0,103.241943359375,254.234375,35713456.0
20110523_3,12.0,0.0,1.0,192774.0,0.04701187559378327,41359032.0,103.15773010253906,247.328125,41359032.0
20110523_4,12.0,0.0,1.0,35507.0,0.2689160430268135,39388116.0,121.90991973876953,253.46875,39388116.0
20110523_6,12.0,0.0,1.0,82572.0,0.1325714137546525,34674584.0,110.3976821899414,247.96875,34674584.0
20110523_7,12.0,0.0,1.0,48928.0,0.17251867687935982,37513764.0,110.56547546386719,253.875,37513764.0
20110523_9,12.0,0.0,1.0,56179.0,0.16096578133545852,41415360.0,103.73758697509766,216.203125,41415360.0
20110526_2,15.0,0.0,1.0,89413.5,0.1109119592279092,41607360.0,91.29006958007812,253.109375,41607360.0
20110526_3,15.0,0.0,1.0,422385.5,0.07011678367368678,57266620.0,99.87080383300781,253.734375,57266620.0
20110526_5,15.0,0.0,1.0,162816.0,0.11375435029785634,56799624.0,96.61015319824219,254.421875,56799624.0
20110526_6,15.0,0.0,1.0,183822.5,0.08093397010264666,48998244.0,102.77426147460938,250.859375,48998244.0
20110526_7,15.0,0.0,1.0,115683.0,0.1306224156400213,48392284.0,98.72795867919922,208.953125,48392284.0
20110526_8,15.0,0.0,1.0,313759.5,0.06185367198842273,54462572.0,96.55386352539062,246.296875,54462572.0
20110530_4,19.0,0.0,1.0,15873.5,0.4697654576356074,22801348.0,113.85299682617188,231.15625,22801348.0
20110530_5,19.0,0.0,1.0,22849.0,0.4100390225753577,23909830.0,121.59437561035156,254.671875,23909830.0
20110530_6,19.0,0.0,1.0,21757.5,0.3242233615342922,26368102.0,116.38358306884766,252.609375,26368102.0
20110530_7,19.0,0.0,1.0,23154.5,0.39357705483284633,27207016.0,117.67436981201172,250.359375,27207016.0
20110530_8,19.0,0.0,1.0,31456.5,0.2395290763875517,29060002.0,119.25376892089844,254.78125,29060002.0
20110530_9,19.0,0.0,1.0,14340.0,0.45531930623036,19407964.0,119.49241638183594,254.15625,19407964.0
20110603_1,23.0,0.0,1.0,14336.5,0.4648027608218782,10491413.0,117.02635955810547,229.859375,10491413.0
20110603_10,23.0,0.0,1.0,24365.0,0.299112632340271,22398866.0,154.51756286621094,254.609375,22398866.0
20110603_3,23.0,0.0,1.0,15149.5,0.4377969646405209,21124546.0,140.22088623046875,239.765625,21124546.0
20110603_5,23.0,0.0,1.0,14985.5,0.38256753470329163,25113496.0,139.65908813476562,253.171875,25113496.0
20110603_6,23.0,0.0,1.0,15480.5,0.44217350573631975,22044336.0,145.76889038085938,254.25,22044336.0
20110603_9,23.0,0.0,1.0,10883.5,0.5705405889803155,18287218.0,138.75082397460938,237.1875,18287218.0
20110607_1,27.0,0.0,1.0,19152.5,0.27101756485651957,12585799.0,125.66698455810547,255.0,12585799.0
20110607_2,27.0,0.0,1.0,11216.0,0.5367870022302875,13242386.0,124.24019622802734,254.328125,13242386.0
20110607_3,27.0,0.0,1.0,12863.0,0.5987342739594138,13026384.0,128.76123046875,254.625,13026384.0
20110607_4,27.0,0.0,1.0,11914.5,0.5791294262535671,12545550.0,121.21068572998047,254.625,12545550.0
20110607_7,27.0,0.0,1.0,18684.0,0.43920283240185565,22723202.0,126.46834564208984,251.796875,22723202.0
20110607_9,27.0,0.0,1.0,11943.0,0.5815291059150648,19357416.0,128.55831909179688,254.609375,19357416.0
20110610_1,30.0,0.0,1.0,41387.5,0.148180676604814,33326536.0,141.34475708007812,255.0,33326536.0
20110610_10,30.0,0.0,1.0,20880.5,0.37685802245669614,22879454.0,107.98715209960938,249.71875,22879454.0
20110610_3,30.0,0.0,1.0,34067.5,0.16813250809952615,31708948.0,100.57453155517578,252.0,31708948.0
20110610_4,30.0,0.0,1.0,35408.5,0.2096185220071082,30125298.0,119.58186340332031,254.53125,30125298.0
20110610_6,30.0,0.0,1.0,14168.5,0.4406007099874529,27898900.0,120.42567443847656,253.875,27898900.0
20110610_9,30.0,0.0,1.0,14166.5,0.2874476270811707,18559508.0,100.44493865966797,250.25,18559508.0
20110617_1,37.0,0.0,1.0,9726.5,0.6038859890005728,14654900.0,120.22958374023438,255.0,14654900.0
20110617_10,37.0,0.0,1.0,8591.5,0.5855263803931846,10193416.0,116.7095947265625,252.140625,10193416.0
