stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1366.0,0.2952110161916727,1473465.0,112.65884399414062,228.0,1473465.0
20110511_2,0.0,0.0,1.0,766.5,0.5109793190890486,1353417.0,110.6636962890625,218.0,1353417.0
20110511_3,0.0,0.0,1.0,1084.0,0.3305739993169113,2037936.0,130.62855529785156,228.0,2037936.0
20110511_4,0.0,0.0,1.0,1382.5,0.23505440176073727,1723971.0,137.6643829345703,228.0,1723971.0
20110511_5,0.0,0.0,1.0,776.5,0.4397956857324959,1302166.0,124.63304138183594,213.0,1302166.0
20110511_6,0.0,0.0,1.0,2086.5,0.27052776420879193,1554319.0,121.326904296875,250.0,1554319.0
20110516_1,5.0,0.0,1.0,988.5,0.4448947449657463,1715775.0,114.37737274169922,252.0,1715775.0
20110516_2,5.0,0.0,1.0,1227.0,0.2583311150734749,1937518.0,116.46537780761719,221.0,1937518.0
20110516_3,5.0,0.0,1.0,1501.0,0.2552800976672085,2507728.0,115.71814727783203,229.0,2507728.0
20110516_5,5.0,0.0,1.0,1125.0,0.35578021062882725,2041287.0,120.57929992675781,250.0,2041287.0
20110516_6,5.0,0.0,1.0,1046.5,0.37903310104058907,1536058.0,113.9677963256836,203.0,1536058.0
20110516_7,5.0,0.0,1.0,1035.5,0.3472447610493416,2351340.0,133.40179443359375,246.0,2351340.0
20110519_1,8.0,0.0,1.0,4099.0,0.16612030138297765,2232611.0,107.99646759033203,234.0,2232611.0
20110519_10,8.0,0.0,1.0,1806.0,0.22524508981173838,2164868.0,105.69612121582031,201.0,2164868.0
20110519_4,8.0,0.0,1.0,1549.0,0.19920626358077634,1928650.0,107.88442993164062,255.0,1928650.0
20110519_5,8.0,0.0,1.0,3098.5,0.15247021685731568,1549627.0,87.49517059326172,218.0,1549627.0
20110519_7,8.0,0.0,1.0,2364.5,0.17786972888382002,2019874.0,92.69729614257812,244.0,2019874.0
20110519_8,8.0,0.0,1.0,2820.5,0.13890094126129712,1723791.0,90.74494934082031,242.0,1723791.0
20110523_2,12.0,0.0,1.0,2981.5,0.11710638347649302,2118128.0,103.36869812011719,250.0,2118128.0
20110523_3,12.0,0.0,1.0,3574.5,0.11250982526789957,2449494.0,103.0758285522461,241.0,2449494.0
20110523_4,12.0,0.0,1.0,2078.0,0.19687801142632688,2422766.0,121.1564712524414,239.0,2422766.0
20110523_6,12.0,0.0,1.0,1934.5,0.24396554934938872,2077208.0,110.60745239257812,238.0,2077208.0
20110523_7,12.0,0.0,1.0,1750.0,0.20538433833325345,2182724.0,110.96715545654297,218.0,2182724.0
20110523_9,12.0,0.0,1.0,2136.5,0.16430479254112548,2437654.0,103.63294219970703,197.0,2437654.0
20110526_2,15.0,0.0,1.0,3440.5,0.1321541790031158,2490188.0,91.81770324707031,254.0,2490188.0
20110526_3,15.0,0.0,1.0,6857.0,0.09236635766591854,3408657.0,100.94042205810547,255.0,3408657.0
20110526_5,15.0,0.0,1.0,3664.0,0.14732409654348996,3371970.0,97.37979125976562,253.0,3371970.0
20110526_6,15.0,0.0,1.0,2727.0,0.14492142926714496,2791073.0,102.5300521850586,207.0,2791073.0
20110526_7,15.0,0.0,1.0,2650.0,0.1475302022327483,2870764.0,99.78671264648438,207.0,2870764.0
20110526_8,15.0,0.0,1.0,4587.5,0.10600281351856387,3295623.0,98.0081787109375,245.0,3295623.0
20110530_4,19.0,0.0,1.0,896.0,0.3753551418516847,1358076.0,112.86262512207031,230.0,1358076.0
20110530_5,19.0,0.0,1.0,1193.5,0.26098368247141335,1168183.0,118.97168731689453,231.0,1168183.0
20110530_6,19.0,0.0,1.0,833.5,0.32529975070311457,1500247.0,114.44404602050781,227.0,1500247.0
20110530_7,19.0,0.0,1.0,879.5,0.27881942459275877,1500372.0,114.66350555419922,247.0,1500372.0
20110530_8,19.0,0.0,1.0,1717.0,0.1591600422795876,1605544.0,117.75167083740234,254.0,1605544.0
20110530_9,19.0,0.0,1.0,698.0,0.5172183381023694,1142711.0,116.5793685913086,229.0,1142711.0
20110603_1,23.0,0.0,1.0,174.0,0.08848636647557148,244912.0,118.6589126586914,193.0,244912.0
20110603_10,23.0,0.0,1.0,1136.5,0.2980642124356345,1314770.0,154.56971740722656,255.0,1314770.0
20110603_3,23.0,0.0,1.0,877.0,0.3445227561645997,1150786.0,138.28237915039062,232.0,1150786.0
20110603_5,23.0,0.0,1.0,692.0,0.5221246653365287,1476974.0,139.1140594482422,248.0,1476974.0
20110603_6,23.0,0.0,1.0,668.0,0.42396716532908135,1276936.0,143.88011169433594,255.0,1276936.0
20110603_9,23.0,0.0,1.0,619.0,0.45388274469702783,1044197.0,137.23182678222656,227.0,1044197.0
20110607_1,27.0,0.0,1.0,771.0,0.3028814644181546,658780.0,120.28117370605469,255.0,658780.0
20110607_2,27.0,0.0,1.0,647.0,0.41551712476686486,712779.0,118.75691223144531,218.0,712779.0
20110607_3,27.0,0.0,1.0,827.0,0.2668661681997817,767539.0,124.31794738769531,234.0,767539.0
20110607_4,27.0,0.0,1.0,641.5,0.4204433243127378,710812.0,119.18376922607422,246.0,710812.0
20110607_7,27.0,0.0,1.0,690.0,0.537135039638097,1204530.0,121.89131927490234,233.0,1204530.0
20110607_9,27.0,0.0,1.0,705.0,0.5004310739459114,1058751.0,127.0551986694336,255.0,1058751.0
20110610_1,30.0,0.0,1.0,719.0,0.2995249028312272,1502141.0,136.50863647460938,255.0,1502141.0
20110610_10,30.0,0.0,1.0,770.0,0.5089602528792951,1239424.0,105.19640350341797,238.0,1239424.0
20110610_3,30.0,0.0,1.0,1508.5,0.18924680265398866,1462857.0,95.85590362548828,238.0,1462857.0
20110610_4,30.0,0.0,1.0,1209.5,0.28305963496198716,1585533.0,115.19419860839844,223.0,1585533.0
20110610_6,30.0,0.0,1.0,790.0,0.33737327934677136,1414518.0,116.50753784179688,241.0,1414518.0
20110610_9,30.0,0.0,1.0,626.5,0.4279153645248024,843468.0,95.57711029052734,247.0,843468.0
20110617_1,37.0,0.0,1.0,391.0,0.8336977109099487,508799.0,104.58355712890625,238.0,508799.0
20110617_10,37.0,0.0,1.0,377.5,0.3045228081338643,500054.0,111.86890411376953,252.0,500054.0
20110617_3,37.0,0.0,1.0,792.0,0.5592978174590372,747501.0,97.80204010009766,210.0,747501.0
20110617_6,37.0,0.0,1.0,708.5,0.5337425091117747,735766.0,110.44220733642578,251.0,735766.0
20110617_8,37.0,0.0,1.0,417.0,0.7209545766894773,644908.0,110.88514709472656,228.0,644908.0
20110617_9,37.0,0.0,1.0,604.5,0.4201148611949453,479635.0,99.50933837890625,251.0,479635.0
20110627_1,47.0,0.0,3.0,560.0,0.4621563355301899,581168.0,107.94353485107422,245.0,581168.0
20110627_10,47.0,0.0,3.0,377.0,0.8585339736289165,446693.0,102.42903137207031,244.0,446693.0
20110627_3,47.0,0.0,3.0,571.0,0.2885930875800969,730081.0,123.55406951904297,252.0,730081.0
20110627_4,47.0,0.0,3.0,533.5,0.4040519054552827,563755.0,113.52295684814453,239.0,563755.0
20110627_5,47.0,0.0,1.0,759.5,0.5012888198025183,464208.0,85.88491821289062,232.0,464208.0
20110627_6,47.0,0.0,3.0,365.0,0.8661703756403201,500489.0,107.93379211425781,225.0,500489.0
