stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,940.0,0.2452149312604445,1548780.0,114.59711456298828,254.0,1548780.0
20110511_2,0.0,0.0,1.0,735.5,0.46294559837158633,1388690.0,112.34446716308594,244.0,1388690.0
20110511_3,0.0,0.0,1.0,736.5,0.4885350805960286,2029371.0,132.20657348632812,228.0,2029371.0
20110511_4,0.0,0.0,1.0,1060.0,0.2426269642895775,1747758.0,139.66421508789062,251.0,1747758.0
20110511_5,0.0,0.0,1.0,506.0,0.5326955441400396,1333638.0,126.85608673095703,253.0,1333638.0
20110511_6,0.0,0.0,1.0,945.0,0.25643272823122415,1554052.0,123.67117309570312,252.0,1554052.0
20110516_1,5.0,0.0,1.0,974.5,0.42482466688776616,1743660.0,114.48851013183594,252.0,1743660.0
20110516_2,5.0,0.0,1.0,1265.5,0.29319311210369187,1977245.0,117.35088348388672,248.0,1977245.0
20110516_3,5.0,0.0,1.0,1484.5,0.2211920133885084,2567314.0,116.33650207519531,245.0,2567314.0
20110516_5,5.0,0.0,1.0,1111.5,0.34421829502466206,2080174.0,121.003662109375,253.0,2080174.0
20110516_6,5.0,0.0,1.0,1261.5,0.2344912112370729,1702743.0,115.5969467163086,230.0,1702743.0
20110516_7,5.0,0.0,1.0,966.0,0.36973450237817923,2387709.0,134.1937255859375,246.0,2387709.0
20110519_1,8.0,0.0,1.0,3021.5,0.09625778162258966,2240052.0,108.30401611328125,254.0,2240052.0
20110519_10,8.0,0.0,1.0,2515.0,0.14723684347888194,2229180.0,105.97984313964844,201.0,2229180.0
20110519_4,8.0,0.0,1.0,1566.0,0.21512563837528684,1953815.0,108.20862579345703,255.0,1953815.0
20110519_5,8.0,0.0,1.0,2615.0,0.13130020500936318,1585786.0,87.97215270996094,224.0,1585786.0
20110519_7,8.0,0.0,1.0,1931.0,0.21191035491041976,2080250.0,93.34754180908203,244.0,2080250.0
20110519_8,8.0,0.0,1.0,2766.5,0.13142585584662236,1794210.0,92.36602020263672,245.0,1794210.0
20110523_2,12.0,0.0,1.0,2634.0,0.12481818709185381,2198006.0,104.21041107177734,250.0,2198006.0
20110523_3,12.0,0.0,1.0,3180.0,0.1258358669106975,2593048.0,104.2096176147461,241.0,2593048.0
20110523_4,12.0,0.0,1.0,1725.0,0.23728319186915742,2473283.0,121.38812255859375,248.0,2473283.0
20110523_6,12.0,0.0,1.0,2280.0,0.3022084596194764,2142101.0,111.09906005859375,246.0,2142101.0
20110523_7,12.0,0.0,1.0,1802.5,0.20328087572156614,2318396.0,111.3863754272461,227.0,2318396.0
20110523_9,12.0,0.0,1.0,2073.0,0.18770559423114735,2565868.0,104.6310806274414,215.0,2565868.0
20110526_2,15.0,0.0,1.0,3470.0,0.1293741347294076,2602889.0,92.32394409179688,254.0,2602889.0
20110526_3,15.0,0.0,1.0,8970.0,0.07525235091073855,3514115.0,100.53253936767578,255.0,3514115.0
20110526_5,15.0,0.0,1.0,7177.0,0.07127097970402616,3474197.0,97.74356079101562,253.0,3474197.0
20110526_6,15.0,0.0,1.0,2121.5,0.328925849877888,2999024.0,104.18342590332031,251.0,2999024.0
20110526_7,15.0,0.0,1.0,2798.5,0.15411532362121355,2975521.0,99.86980438232422,245.0,2975521.0
20110526_8,15.0,0.0,1.0,9609.5,0.04277175904858501,3377828.0,97.60816192626953,245.0,3377828.0
20110530_4,19.0,0.0,1.0,895.5,0.3641899138156656,1423930.0,113.93263244628906,230.0,1423930.0
20110530_5,19.0,0.0,1.0,1348.0,0.3516486457234119,1463530.0,122.86181640625,252.0,1463530.0
20110530_6,19.0,0.0,1.0,898.0,0.3740936900023249,1643056.0,116.14165496826172,231.0,1643056.0
20110530_7,19.0,0.0,1.0,944.0,0.25193158342062655,1705141.0,117.49868774414062,252.0,1705141.0
20110530_8,19.0,0.0,1.0,1865.0,0.19163880993892687,1837382.0,118.77832794189453,254.0,1837382.0
20110530_9,19.0,0.0,1.0,841.5,0.3725880808668524,1204533.0,117.84883880615234,229.0,1204533.0
20110603_1,23.0,0.0,1.0,225.0,0.37554127110369495,458986.0,126.3380126953125,227.0,458986.0
20110603_10,23.0,0.0,1.0,1096.0,0.26810324239033256,1322290.0,155.76510620117188,255.0,1322290.0
20110603_3,23.0,0.0,1.0,872.5,0.3501530238968311,1284449.0,141.36572265625,239.0,1284449.0
20110603_5,23.0,0.0,1.0,693.5,0.5092916875282233,1533564.0,140.44912719726562,254.0,1533564.0
20110603_6,23.0,0.0,1.0,680.0,0.4367104262822927,1364197.0,145.90342712402344,255.0,1364197.0
20110603_9,23.0,0.0,1.0,594.5,0.3645463529774996,1135963.0,139.33067321777344,236.0,1135963.0
20110607_1,27.0,0.0,1.0,540.0,0.49939121517564367,770979.0,125.8741226196289,243.0,770979.0
20110607_2,27.0,0.0,1.0,556.5,0.4764278804309901,795015.0,124.63003540039062,249.0,795015.0
