stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1140.5,0.2854651999434016,1469192.0,115.58429718017578,254.0,1469192.0
20110511_2,0.0,0.0,1.0,741.0,0.46480970812510636,1342247.0,111.95654296875,218.0,1342247.0
20110511_3,0.0,0.0,1.0,1056.0,0.3122033096255415,2012546.0,132.01351928710938,228.0,2012546.0
20110511_4,0.0,0.0,1.0,1681.0,0.15999168768503697,1631867.0,140.32737731933594,251.0,1631867.0
20110511_5,0.0,0.0,1.0,425.0,0.842936211746379,1253774.0,126.19768524169922,213.0,1253774.0
20110511_6,0.0,0.0,1.0,1860.0,0.14321278951200697,1541902.0,123.59935760498047,252.0,1541902.0
20110516_1,5.0,0.0,1.0,957.5,0.43524760578841715,1693054.0,115.00944519042969,252.0,1693054.0
20110516_2,5.0,0.0,1.0,1173.5,0.24924794289972835,1906154.0,117.5114974975586,240.0,1906154.0
20110516_3,5.0,0.0,1.0,1487.0,0.2501039270746864,2490200.0,115.96349334716797,229.0,2490200.0
20110516_5,5.0,0.0,1.0,1110.0,0.3469462636291387,2039310.0,121.15672302246094,253.0,2039310.0
20110516_6,5.0,0.0,1.0,963.5,0.33687841273674035,1576006.0,115.65319061279297,221.0,1576006.0
20110516_7,5.0,0.0,1.0,1258.0,0.22629123495344144,2335132.0,134.32650756835938,246.0,2335132.0
20110519_1,8.0,0.0,1.0,3477.0,0.08863793956541946,2211340.0,108.57465362548828,230.0,2211340.0
20110519_10,8.0,0.0,1.0,1784.5,0.21831867556349932,2138221.0,106.31039428710938,201.0,2138221.0
20110519_4,8.0,0.0,1.0,1226.0,0.2735051045376085,1916840.0,108.23489379882812,255.0,1916840.0
20110519_5,8.0,0.0,1.0,3147.0,0.16110700054976823,1534145.0,88.13886260986328,224.0,1534145.0
20110519_7,8.0,0.0,1.0,2729.5,0.12516432133543046,2013686.0,93.61192321777344,244.0,2013686.0
20110519_8,8.0,0.0,1.0,2834.0,0.15934163850484728,1771490.0,92.80647277832031,245.0,1771490.0
20110523_2,12.0,0.0,1.0,1809.0,0.1753580740105971,2094195.0,104.14735412597656,250.0,2094195.0
20110523_3,12.0,0.0,1.0,3241.5,0.15641480871434413,2388859.0,103.6606216430664,216.0,2388859.0
20110523_4,12.0,0.0,1.0,2050.0,0.19210940063182502,2392148.0,121.65113830566406,239.0,2392148.0
20110523_6,12.0,0.0,1.0,1276.0,0.37003156619808925,1958594.0,110.34954071044922,219.0,1958594.0
20110523_7,12.0,0.0,1.0,1852.5,0.22781412001971077,2087431.0,111.19918060302734,225.0,2087431.0
20110523_9,12.0,0.0,1.0,2059.0,0.1893015180351717,2414981.0,104.61709594726562,215.0,2414981.0
20110526_2,15.0,0.0,1.0,3589.0,0.11244132649804432,2508369.0,92.77542114257812,254.0,2508369.0
20110526_3,15.0,0.0,1.0,7057.5,0.07980400071721334,3330141.0,101.40502166748047,255.0,3330141.0
20110526_5,15.0,0.0,1.0,2901.5,0.15509571907566963,3291051.0,98.21687316894531,253.0,3291051.0
20110526_6,15.0,0.0,1.0,2074.5,0.31247980966134636,2801306.0,103.4150161743164,218.0,2801306.0
20110526_7,15.0,0.0,1.0,3212.0,0.11224296018434682,2802560.0,100.11288452148438,207.0,2802560.0
20110526_8,15.0,0.0,1.0,6923.0,0.06063391367847008,3197607.0,98.32437133789062,245.0,3197607.0
20110530_4,19.0,0.0,1.0,897.0,0.39602004834043375,1351661.0,113.56587219238281,230.0,1351661.0
20110530_5,19.0,0.0,1.0,1011.0,0.3717995813242826,1168280.0,120.76493835449219,231.0,1168280.0
20110530_6,19.0,0.0,1.0,896.0,0.3732605202253146,1495962.0,115.74173736572266,227.0,1495962.0
20110530_7,19.0,0.0,1.0,865.0,0.25369183062686534,1489177.0,116.26020812988281,247.0,1489177.0
20110530_8,19.0,0.0,1.0,1785.5,0.187630892250913,1623244.0,118.39854431152344,232.0,1623244.0
20110530_9,19.0,0.0,1.0,670.0,0.4975558558944145,1097547.0,117.497802734375,229.0,1097547.0
20110603_1,23.0,0.0,3.0,152.5,0.8303175868862889,81000.0,129.60000610351562,227.0,81000.0
20110603_10,23.0,0.0,1.0,1313.5,0.21177531618432363,1264242.0,156.1370849609375,255.0,1264242.0
20110603_3,23.0,0.0,1.0,856.0,0.32763223028174343,1174734.0,139.99928283691406,232.0,1174734.0
20110603_5,23.0,0.0,1.0,689.0,0.5041150913522188,1433646.0,140.51220703125,248.0,1433646.0
20110603_6,23.0,0.0,1.0,556.5,0.5242398886800089,1231498.0,143.69871520996094,255.0,1231498.0
20110603_9,23.0,0.0,1.0,603.5,0.43310921359578664,1031623.0,138.12063598632812,227.0,1031623.0
20110607_1,27.0,0.0,1.0,664.0,0.3075632490013699,662857.0,123.50605773925781,232.0,662857.0
20110607_2,27.0,0.0,1.0,553.0,0.48747056608569345,666437.0,120.66576385498047,230.0,666437.0
20110607_3,27.0,0.0,1.0,753.5,0.48321904984314684,764040.0,125.66447448730469,234.0,764040.0
20110607_4,27.0,0.0,1.0,656.0,0.4656493380596039,715697.0,120.62986755371094,252.0,715697.0
20110607_7,27.0,0.0,1.0,666.0,0.5184520797918737,1190919.0,122.91454315185547,233.0,1190919.0
20110607_9,27.0,0.0,1.0,677.0,0.3997547465813832,1034100.0,127.85608673095703,255.0,1034100.0
20110610_1,30.0,0.0,1.0,720.5,0.3009901883517915,1575310.0,139.54380798339844,255.0,1575310.0
20110610_10,30.0,0.0,1.0,755.5,0.48928753805144704,1286941.0,107.00432586669922,238.0,1286941.0
20110610_3,30.0,0.0,1.0,986.0,0.34438008059259645,1519079.0,100.06449127197266,247.0,1519079.0
20110610_4,30.0,0.0,1.0,1184.0,0.26877844014190816,1603469.0,116.78579711914062,239.0,1603469.0
20110610_6,30.0,0.0,1.0,1373.5,0.24507728081561864,1452812.0,117.88478088378906,241.0,1452812.0
20110610_9,30.0,0.0,1.0,612.0,0.44544141694048595,798608.0,97.49822998046875,247.0,798608.0
20110617_1,37.0,0.0,1.0,472.5,0.36922965586581163,572618.0,112.1021957397461,238.0,572618.0
20110617_10,37.0,0.0,1.0,360.0,0.8351809682175346,453705.0,114.08222198486328,252.0,453705.0
20110617_3,37.0,0.0,1.0,765.0,0.5498466068786966,735348.0,100.1427230834961,212.0,735348.0
20110617_6,37.0,0.0,1.0,686.5,0.5295164741164954,722763.0,112.98468017578125,251.0,722763.0
20110617_8,37.0,0.0,1.0,467.0,0.43808555207383165,652929.0,113.15927124023438,239.0,652929.0
20110617_9,37.0,0.0,1.0,479.5,0.8502404863953805,514953.0,104.15715789794922,251.0,514953.0
20110627_1,47.0,0.0,1.0,567.0,0.4390103243784438,563673.0,107.01974487304688,245.0,563673.0
20110627_10,47.0,0.0,3.0,346.0,0.8888341556663282,479815.0,107.87207794189453,244.0,479815.0
20110627_3,47.0,0.0,3.0,546.0,0.2892168160834714,750063.0,125.65974426269531,252.0,750063.0
20110627_4,47.0,0.0,3.0,516.5,0.4036129473296116,640131.0,116.87621307373047,239.0,640131.0
20110627_5,47.0,0.0,1.0,775.0,0.49528847278741106,469049.0,88.18367767333984,232.0,469049.0
20110627_6,47.0,0.0,3.0,373.0,0.8127643481852898,512684.0,110.20722198486328,231.0,512684.0
