stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,857.0,0.30041020860373946,1447434.0,115.21404266357422,231.0,1447434.0
20110511_2,0.0,0.0,1.0,742.5,0.5035368266159351,1374904.0,112.41141510009766,244.0,1374904.0
20110511_3,0.0,0.0,1.0,1031.5,0.2725857342162975,2015276.0,132.07130432128906,228.0,2015276.0
20110511_4,0.0,0.0,1.0,726.5,0.359135673905171,1658948.0,140.1612091064453,251.0,1658948.0
20110511_5,0.0,0.0,1.0,498.5,0.48216616063901585,1303783.0,126.63005065917969,253.0,1303783.0
20110511_6,0.0,0.0,1.0,1032.5,0.22116806502269382,1541941.0,123.6619644165039,252.0,1541941.0
20110516_1,5.0,0.0,1.0,984.0,0.4354670771982303,1720013.0,114.40821075439453,252.0,1720013.0
20110516_2,5.0,0.0,1.0,1225.5,0.2492821118525014,1934516.0,117.20077514648438,240.0,1934516.0
20110516_3,5.0,0.0,1.0,1489.0,0.23979726915754432,2501431.0,115.79627227783203,235.0,2501431.0
20110516_5,5.0,0.0,1.0,1107.5,0.308465865521036,2045396.0,121.086669921875,253.0,2045396.0
20110516_6,5.0,0.0,1.0,985.0,0.34053696953218016,1568117.0,115.2688217163086,248.0,1568117.0
20110516_7,5.0,0.0,1.0,953.0,0.35177463229623795,2348194.0,134.190185546875,246.0,2348194.0
20110519_1,8.0,0.0,1.0,2607.5,0.12681393235002195,2216379.0,108.45994567871094,230.0,2216379.0
20110519_10,8.0,0.0,1.0,2164.5,0.1787462459875098,2175720.0,105.95178985595703,201.0,2175720.0
20110519_4,8.0,0.0,1.0,1235.0,0.25856073029276366,1917577.0,108.16657257080078,255.0,1917577.0
20110519_5,8.0,0.0,1.0,1601.0,0.18562132601491838,1533630.0,88.44973754882812,224.0,1533630.0
20110519_7,8.0,0.0,1.0,2717.5,0.1145015978806491,2043512.0,93.70469665527344,244.0,2043512.0
20110519_8,8.0,0.0,1.0,2051.0,0.1719456804492965,1767767.0,93.0158920288086,245.0,1767767.0
20110523_2,12.0,0.0,1.0,1607.0,0.18781286256461868,2129545.0,104.70254516601562,250.0,2129545.0
20110523_3,12.0,0.0,1.0,2976.0,0.18377741734624684,2480503.0,103.72164154052734,253.0,2480503.0
20110523_4,12.0,0.0,1.0,1746.0,0.2289573756732891,2414363.0,121.25774383544922,239.0,2414363.0
20110523_6,12.0,0.0,1.0,1953.0,0.25093368305177777,2041883.0,110.7852554321289,246.0,2041883.0
20110523_7,12.0,0.0,1.0,1746.5,0.19502453171032397,2087790.0,110.81687927246094,225.0,2087790.0
20110523_9,12.0,0.0,1.0,2047.0,0.18452973839900694,2441946.0,104.53983306884766,215.0,2441946.0
20110526_2,15.0,0.0,1.0,2757.0,0.20120242111998468,2577224.0,92.36038208007812,254.0,2577224.0
20110526_3,15.0,0.0,1.0,5618.0,0.09073865546305736,3417080.0,101.03427124023438,255.0,3417080.0
20110526_5,15.0,0.0,1.0,3531.0,0.13783167341802904,3410607.0,97.91028594970703,253.0,3410607.0
20110526_6,15.0,0.0,1.0,3566.0,0.1098693773723078,2857411.0,103.72103881835938,237.0,2857411.0
20110526_7,15.0,0.0,1.0,1723.5,0.2469447534569586,2887600.0,100.1109390258789,244.0,2887600.0
20110526_8,15.0,0.0,1.0,7453.0,0.06912858176492401,3286975.0,97.89656066894531,245.0,3286975.0
20110530_4,19.0,0.0,1.0,868.5,0.3376669121582911,1370219.0,113.62625122070312,230.0,1370219.0
20110530_5,19.0,0.0,1.0,1015.0,0.355795054978708,1205396.0,120.51549530029297,238.0,1205396.0
20110530_6,19.0,0.0,1.0,856.5,0.33684796007589485,1506591.0,116.24930572509766,227.0,1506591.0
20110530_7,19.0,0.0,1.0,787.0,0.38060658829075883,1510608.0,116.14701080322266,247.0,1510608.0
20110530_8,19.0,0.0,1.0,1424.0,0.2595098264148023,1684633.0,119.4182357788086,254.0,1684633.0
20110530_9,19.0,0.0,1.0,677.5,0.3950034537447815,1105293.0,117.57185363769531,229.0,1105293.0
20110603_1,23.0,0.0,1.0,353.0,0.07878892315115055,190066.0,117.10782623291016,198.0,190066.0
20110603_10,23.0,0.0,1.0,1403.0,0.2041027027567945,1288922.0,156.17617797851562,255.0,1288922.0
20110603_3,23.0,0.0,1.0,720.0,0.44945501477802047,1168366.0,140.26002502441406,232.0,1168366.0
20110603_5,23.0,0.0,1.0,691.5,0.4747108518457145,1451528.0,139.7446746826172,248.0,1451528.0
20110603_6,23.0,0.0,1.0,886.0,0.3067676463615216,1280573.0,144.87759399414062,255.0,1280573.0
20110603_9,23.0,0.0,1.0,584.0,0.37767309990064096,1061321.0,138.77105712890625,227.0,1061321.0
20110607_1,27.0,0.0,1.0,745.0,0.260206043685627,663898.0,122.04007720947266,215.0,663898.0
20110607_2,27.0,0.0,1.0,548.5,0.4722502880514764,660689.0,120.01616668701172,218.0,660689.0
20110607_3,27.0,0.0,1.0,764.0,0.46155105191111473,751358.0,125.30987548828125,234.0,751358.0
20110607_4,27.0,0.0,1.0,396.5,0.8584760633335994,737021.0,121.12095642089844,252.0,737021.0
20110607_7,27.0,0.0,1.0,648.5,0.4484024871016534,1235526.0,123.77539825439453,240.0,1235526.0
20110607_9,27.0,0.0,1.0,675.5,0.42517981124722565,966141.0,127.22425842285156,255.0,966141.0
20110610_1,30.0,0.0,1.0,557.5,0.40427935909399804,1553455.0,138.5899658203125,255.0,1553455.0
20110610_10,30.0,0.0,1.0,741.0,0.45194710643282404,1304023.0,107.26519775390625,238.0,1304023.0
20110610_3,30.0,0.0,1.0,980.0,0.2897341306986178,1530654.0,98.88584899902344,240.0,1530654.0
20110610_4,30.0,0.0,1.0,1194.0,0.26836918460743947,1571339.0,116.37824249267578,239.0,1571339.0
20110610_6,30.0,0.0,1.0,1360.0,0.2344942540042122,1405690.0,116.46147155761719,241.0,1405690.0
20110610_9,30.0,0.0,1.0,483.5,0.5177757745901079,800893.0,96.84317016601562,247.0,800893.0
20110617_1,37.0,0.0,1.0,384.0,0.40681046467393506,529804.0,109.7584457397461,238.0,529804.0
20110617_10,37.0,0.0,1.0,358.5,0.864609407607348,428697.0,115.3031234741211,252.0,428697.0
