Architecture,Category,Loss Config,Rank,Trainable %,mean_dice,mean_iou,aji,bf1,phase_vol_error,Trainable Params,Total Params,dice_discocyte,phase_vol_error_discocyte,dice_echinocyte,phase_vol_error_echinocyte,dice_spherocyte,phase_vol_error_spherocyte,dice_stomatocyte,phase_vol_error_stomatocyte,phase_vol_error_std
EDGE_SAM,ABLATION,dice_only,8,8.897,0.7565374625936221,0.6210950944118627,0.5252371485940049,0.9375940116753543,0.05222885683178902,534205,6004333,0.9033110586343773,0.08140885084867477,0.793115588998715,0.2708679437637329,0.7320470705642831,0.26914286613464355,0.597676132177113,0.5613387823104858,0.029126795008778572
EDGE_SAM,ABLATION,full,8,8.897,0.7395636773886496,0.600545345928849,0.3766374153711949,0.9526551914104349,0.03043382056057453,534205,6004333,0.9004842622456861,0.0701480433344841,0.7841632094027134,0.3765624463558197,0.6868555256669127,0.29510390758514404,0.5867517122392861,0.597300112247467,0.022284062579274178
EDGE_SAM,ABLATION,pmc,8,8.897,0.607696939928116,0.5107926542855687,0.3387003933294413,0.3864090810740002,0.4719637334346771,534205,6004333,0.8941013923237792,0.08209290355443954,0.7866907703458278,0.3227291405200958,0.7319123517585205,0.3193640410900116,0.018083245284336753,10.735798835754395,0.3706786334514618
EDGE_SAM,ABLATION,pmc_bga,8,8.897,0.7633847622783532,0.6269122047644963,0.4208319426318164,0.9293012539886655,0.061334870755672455,534205,6004333,0.9030117413229239,0.08075573295354843,0.7759190072720181,0.36733517050743103,0.7313343413882819,0.31527331471443176,0.6432739591301887,0.5003979802131653,0.04303564503788948
MOBILENET_UNET,ABLATION,dice_only,8,71.8373,0.42537312688088336,0.3742322246916252,0.6330774675556005,0.9134230658468001,0.15516160428524017,5584173,7773357,0.929472531179351,0.08216900378465652,1.6221652661970572e-13,1.0,0.7720199763438182,0.33336517214775085,2.019997980001612e-13,1.0,0.17446289956569672
MOBILENET_UNET,ABLATION,full,8,71.8373,0.41935334214888165,0.3631211950434794,0.6747293911385366,0.9697880961082278,0.030115952715277672,5584173,7773357,0.894779551300182,0.5605380535125732,1.6221652661970572e-13,1.0,0.7826338172949803,0.2569064795970917,2.019997980001612e-13,1.0,0.027850903570652008
MOBILENET_UNET,ABLATION,pmc,8,71.8373,0.4231522160884583,0.3701270656873425,0.6219286106365078,0.9089037805430635,0.1652195155620575,5584173,7773357,0.9178603801106663,0.09584999829530716,1.6221652661970572e-13,1.0,0.7747484842428026,0.2654935419559479,2.019997980001612e-13,1.0,0.17912736535072327
MOBILENET_UNET,ABLATION,pmc_bga,8,71.8373,0.42340521857566804,0.3707514207195166,0.6456768939803073,0.9159372217537896,0.16054965555667877,5584173,7773357,0.9208697158443553,0.09699983894824982,1.6221652661970572e-13,1.0,0.7727511584579526,0.3124234676361084,2.019997980001612e-13,1.0,0.18269415199756622
MOBILE_SAM,ABLATION,dice_only,8,10.0177,0.8132176374211348,0.6950007736239732,0.23533218636670902,0.6654622959658644,0.02460544742643833,673184,6719932,0.9326555933820779,0.07511118799448013,0.8506990485843383,0.3680132031440735,0.7827492801015189,0.2950076758861542,0.6867666276166045,0.34625405073165894,0.016342204064130783
MOBILE_SAM,ABLATION,full,8,10.0177,0.606501996111445,0.4637343347802705,0.24623316882196913,0.46518206429149606,0.07247760146856308,673184,6719932,0.8842495971170241,0.13857902586460114,0.5600783628060917,0.6984427571296692,0.6307464194037115,0.5040322542190552,0.3509336051189527,0.6631872057914734,0.049681857228279114
MOBILE_SAM,ABLATION,pmc,8,10.0177,0.5883227850246389,0.49208111838929625,0.2052725537629641,0.543094777858358,0.10045208781957626,673184,6719932,0.9136763662011873,0.15806470811367035,1.0146845142908064e-14,1.0,0.7575812634993458,0.32475316524505615,0.6820335103980121,0.5333057641983032,0.12034028023481369
MOBILE_SAM,ABLATION,pmc_bga,8,10.0177,0.80392055689561,0.6833467359970515,0.2512401896199678,0.6644352665746299,0.023722834885120392,673184,6719932,0.9291776958887964,0.0700215995311737,0.8594697819038957,0.32787975668907166,0.7523805825177157,0.29211437702178955,0.674654167272032,0.4918041527271271,0.02927250601351261
