Architecture,Rank,Trainable %,mean_dice,mean_iou,aji,bf1,phase_vol_error,Trainable Params,Total Params,dice_discocyte,phase_vol_error_discocyte,dice_echinocyte,phase_vol_error_echinocyte,dice_spherocyte,phase_vol_error_spherocyte,dice_stomatocyte,phase_vol_error_stomatocyte,phase_vol_error_std
EDGE_SAM,2,5.1985,0.6277812162671418,0.47783617080108015,0.4821247165717195,0.9133952681985842,0.07245457172393799,299959,5770087,0.8725320301249154,0.11477531492710114,0.6202765135843659,0.578682005405426,0.5724516522550627,0.4004877805709839,0.4458646691042234,0.7737477421760559,0.0849800854921341
EDGE_SAM,4,6.4643,0.6313808333164421,0.48110388342645133,0.4502688392418971,0.9003226678128983,0.07611001282930374,378041,5848169,0.872451541063881,0.11599791795015335,0.616346721125517,0.5168267488479614,0.5851166991139612,0.4106381833553314,0.45160837196240927,0.7072476744651794,0.08400346338748932
EDGE_SAM,8,8.897,0.7313663184105055,0.591991601394282,0.4273349076804511,0.9498578841815042,0.03856971487402916,534205,6004333,0.8956119936168994,0.08333370834589005,0.7883858026956461,0.39322629570961,0.6845695535791592,0.32294169068336487,0.5568979237503171,0.686795711517334,0.024940475821495056
EDGE_SAM,16,13.4016,0.7309213625556353,0.5921416580907495,0.4281543310309275,0.9533837247936349,0.029305392876267433,846533,6316661,0.900314479937659,0.06643223017454147,0.7772305838875548,0.3723592162132263,0.7005181065314262,0.2975609302520752,0.5456222798659013,0.6745677590370178,0.021348165348172188
EDGE_SAM,32,21.1947,0.7263262607305704,0.585248141093237,0.4552735979789832,0.9549860770781348,0.031752895563840866,1471189,6941317,0.9033678501870073,0.06952570378780365,0.7417125514849563,0.3256956934928894,0.7008993288590804,0.3017401695251465,0.5593253123912376,0.7827665209770203,0.02377629466354847
MOBILENET_UNET,2,71.4223,0.4172213961819484,0.3602073392670361,0.671961519524299,0.9710029834217682,0.02816052921116352,5471271,7660455,0.8940347286028315,0.5860971212387085,1.6221652661970572e-13,1.0,0.774850856124598,0.29916203022003174,2.019997980001612e-13,1.0,0.025345176458358765
MOBILENET_UNET,4,71.562,0.4196482433711442,0.3636731969429099,0.653146182178343,0.9701957102897304,0.029570136219263077,5508905,7698089,0.8968939989726957,0.5569167733192444,1.6221652661970572e-13,1.0,0.7816989745115168,0.29768455028533936,2.019997980001612e-13,1.0,0.030519364401698112
MOBILENET_UNET,8,71.8373,0.41859999397319136,0.3621886261563126,0.6770291000992481,0.9679417188032589,0.03555711358785629,5584173,7773357,0.8958775536988896,0.5772640109062195,1.6221652661970572e-13,1.0,0.7785224221935116,0.29394975304603577,2.019997980001612e-13,1.0,0.04728657379746437
MOBILENET_UNET,16,72.3724,0.416916943949964,0.35996742046887387,0.6122320315471169,0.9658039757357859,0.03580838069319725,5734709,7923893,0.8961630312910853,0.5613878965377808,1.6221652661970572e-13,1.0,0.7715047445084063,0.2638867497444153,2.019997980001612e-13,1.0,0.03695891052484512
MOBILENET_UNET,32,73.3837,0.19079142836216909,0.14038396128931865,0.6558793690868443,0.9467143101004716,0.0637119933962822,6035781,8224965,0.684920072982764,0.9281935095787048,1.6221652661970572e-13,1.0,0.07824564046554812,4.484800338745117,2.019997980001612e-13,1.0,0.0365789569914341
MOBILE_SAM,2,9.4173,0.6346580614889463,0.5539975250023687,0.291456293366736,0.6801259288545044,0.02099420689046383,628640,6675388,0.9179174460060915,0.10200031101703644,0.8577643170446951,0.3754945993423462,0.7629504829049862,0.33830273151397705,1.2632419335686173e-14,1.0,0.015959924086928368
MOBILE_SAM,4,9.6183,0.6392735954124451,0.5603982543573442,0.3125004682999101,0.6769552727501852,0.022529765963554382,643488,6690236,0.918241464038609,0.0939561054110527,0.8627451983691655,0.351298987865448,0.7761077192419938,0.29826948046684265,1.2632419335686173e-14,1.0,0.01914929412305355
MOBILE_SAM,8,10.0177,0.5619044143611938,0.42408252139317487,0.22317516530862064,0.4214487018489933,0.07992056012153625,673184,6719932,0.8760323091308326,0.15343132615089417,0.444184317553622,0.6658146977424622,0.6214978633122504,0.5810078382492065,0.30590316744807006,0.5933322906494141,0.056146491318941116
MOBILE_SAM,16,10.806,0.5224711027675129,0.3865532182689232,0.1355850349048313,0.4391560321845279,0.0690595954656601,732576,6779324,0.8709949234399909,0.26964548230171204,0.39775516540424455,0.7276799082756042,0.5099212983168318,0.5560493469238281,0.31121302390898425,1.0318293571472168,0.05324365198612213
MOBILE_SAM,32,12.3419,0.420937286485037,0.3654114249840405,0.33101457096341286,0.5932327039453458,0.055001288652420044,851360,6898108,0.8968080968916945,0.48198843002319336,1.0146845142908064e-14,1.0,0.7869410490484305,0.2193155288696289,1.2632419335686173e-14,1.0,0.0626387745141983
