storage_day,n_cells,area_um2_mean,area_um2_sd,circularity_mean,circularity_sd,dry_mass_pg_mean,dry_mass_pg_sd,dominant_class
0,190,61.2,26.6,0.726,0.137,4063.9,1820.8,discocyte
5,221,71.2,33.1,0.685,0.171,4553.5,2081.8,discocyte
8,192,65.7,29.5,0.680,0.155,3481.6,1547.7,discocyte
12,187,70.0,36.9,0.660,0.174,4088.8,2068.9,discocyte
15,184,73.8,41.5,0.590,0.183,3958.4,2096.0,discocyte
19,203,64.1,32.3,0.673,0.173,4006.4,1817.6,discocyte
23,156,54.7,29.7,0.681,0.173,4157.8,2234.4,discocyte
27,138,57.4,25.5,0.721,0.138,3886.1,1551.8,discocyte
30,250,56.0,30.6,0.667,0.177,3456.6,1674.6,discocyte
37,191,46.6,20.6,0.708,0.155,2884.2,978.9,echinocyte
47,258,40.6,17.5,0.686,0.160,2541.1,855.3,echinocyte
