stem,storage_day,pred_class,area_um2,circularity,sum_I,npix,I_bg,dry_mass_pg
20110511_1,0,1,90.161,0.5328,332835.0,4342.0,49.0,50.360998539866195
20110511_1,0,1,32.746,0.793,108684.0,1577.0,49.0,16.444889405581797
20110511_1,0,1,54.508,0.9056,222323.0,2625.0,49.0,33.639515911423594
20110511_1,0,1,53.407,0.8552,182385.0,2572.0,49.0,27.596528966885984
20110511_1,0,1,50.583,0.8335,171509.0,2436.0,49.0,25.95089007638593
20110511_1,0,1,43.648,0.8901,165996.0,2102.0,49.0,25.116722440920064
20110511_1,0,1,48.818,0.8883,173963.0,2351.0,49.0,26.3222028602483
20110511_1,0,1,53.719,0.8934,179500.0,2587.0,49.0,27.160001916583237
20110511_1,0,1,66.011,0.8842,208043.0,3179.0,49.0,31.47882049432717
20110511_1,0,1,49.275,0.8736,157934.0,2373.0,49.0,23.896867647318427
20110511_1,0,1,44.312,0.89,141426.0,2134.0,49.0,21.399055326210036
20110511_1,0,1,46.825,0.8951,172967.0,2255.0,49.0,26.171498894181912
20110511_1,0,4,41.675,0.8785,154713.0,2007.0,49.0,23.409500704848707
20110511_1,0,4,153.66,0.3144,504604.0,7400.0,49.0,76.35122900900038
20110511_1,0,4,128.223,0.4283,496135.0,6175.0,49.0,75.06979136982744
20110511_1,0,3,48.361,0.7102,162440.0,2329.0,49.0,24.57866691548625
20110511_1,0,1,65.908,0.8696,197091.0,3174.0,49.0,29.821682104408396
20110511_1,0,1,53.116,0.8674,176091.0,2558.0,49.0,26.644188843972476
20110511_1,0,4,43.212,0.8862,164159.0,2081.0,49.0,24.83876743523336
20110511_1,0,1,55.982,0.9096,188142.0,2696.0,49.0,28.467616047854058
20110511_1,0,1,52.701,0.8554,162935.0,2538.0,49.0,24.65356497091081
20110511_1,0,1,28.261,0.7913,122777.0,1361.0,49.0,18.577290001740057
20110511_1,0,1,53.615,0.8411,189089.0,2582.0,49.0,28.610905862979433
20110511_1,0,1,48.382,0.8655,149293.0,2330.0,49.0,22.58940482525048
20110511_1,0,1,46.617,0.8926,124086.0,2245.0,49.0,18.77535374830723
20110511_1,0,1,53.822,0.8714,139217.0,2592.0,49.0,21.06481329705275
20110511_1,0,1,41.197,0.8551,154087.0,1984.0,49.0,23.31478114384714
20110511_1,0,1,59.657,0.8885,148222.0,2873.0,49.0,22.42735266896825
20110511_1,0,4,37.065,0.8802,153111.0,1785.0,49.0,23.167103361838308
20110511_1,0,1,53.158,0.8864,150300.0,2560.0,49.0,22.74177319254853
20110511_1,0,1,44.478,0.8984,136826.0,2142.0,49.0,20.70303299297169
20110511_1,0,1,54.632,0.8867,119188.0,2631.0,49.0,18.03424127261127
20110511_1,0,4,75.169,0.5039,257642.0,3620.0,49.0,38.98360564786818
20110511_1,0,1,59.657,0.9126,129247.0,2873.0,49.0,19.556260544360075
20110511_1,0,1,36.92,0.7352,146073.0,1778.0,49.0,22.10218919198364
20110511_1,0,1,52.556,0.8365,167569.0,2531.0,49.0,25.354731817047
20110511_1,0,1,56.646,0.8843,143536.0,2728.0,49.0,21.718317744282405
20110511_1,0,1,51.372,0.8749,160870.0,2474.0,49.0,24.34111146696794
20110511_1,0,1,59.678,0.8586,139664.0,2874.0,49.0,21.132448510739174
20110511_1,0,1,59.99,0.8668,161102.0,2889.0,49.0,24.376215202035617
20110511_1,0,1,49.026,0.866,172496.0,2361.0,49.0,26.100232259626416
20110511_1,0,1,55.837,0.8931,145831.0,2689.0,49.0,22.06557236488719
20110511_1,0,1,58.038,0.8682,113882.0,2795.0,49.0,17.23139464214113
20110511_1,0,1,51.227,0.887,131159.0,2467.0,49.0,19.845563740262623
20110511_2,0,1,76.02,0.8936,263462.0,3661.0,44.0,39.86422520861756
20110511_2,0,1,148.551,0.4383,479678.0,7154.0,44.0,72.57969581806582
20110511_2,0,1,69.354,0.9011,281766.0,3340.0,44.0,42.63378885809467
20110511_2,0,1,63.935,0.8474,230432.0,3079.0,44.0,34.8664822375605
20110511_2,0,1,65.368,0.872,215315.0,3148.0,44.0,32.57914101765527
20110511_2,0,1,65.139,0.914,254939.0,3137.0,44.0,38.574616872489216
20110511_2,0,1,70.31,0.8833,232562.0,3386.0,44.0,35.18877083969043
20110511_2,0,4,56.916,0.905,237608.0,2741.0,44.0,35.95227707741231
20110511_2,0,1,72.511,0.8993,242715.0,3492.0,44.0,36.725013176509755
20110511_2,0,1,73.715,0.8326,224182.0,3550.0,44.0,33.920799719573616
20110511_2,0,1,78.636,0.8953,265256.0,3787.0,44.0,40.13567391858052
20110511_2,0,1,76.851,0.8672,249802.0,3701.0,44.0,37.79734149730544
20110511_2,0,1,67.444,0.9026,214998.0,3248.0,44.0,32.53117600034297
20110511_2,0,1,68.607,0.9011,217039.0,3304.0,44.0,32.839998083416766
20110511_2,0,4,43.689,0.8477,222645.0,2104.0,44.0,33.68823747475028
20110511_2,0,1,51.414,0.9139,183161.0,2476.0,44.0,27.713944908319238
20110511_2,0,1,66.8,0.901,207706.0,3217.0,44.0,31.427829292957316
20110511_2,0,3,53.386,0.6709,209332.0,2571.0,44.0,31.673858056836785
20110511_2,0,1,67.34,0.8616,216262.0,3243.0,44.0,32.72243083278064
20110511_2,0,1,72.199,0.8756,240554.0,3477.0,44.0,36.398033989090614
20110511_2,0,1,66.364,0.8756,185209.0,3196.0,44.0,28.023826155813175
20110511_2,0,1,61.921,0.9042,164911.0,2982.0,44.0,24.95255195579754
20110511_2,0,1,45.371,0.8313,150205.0,2185.0,44.0,22.727398818275127
20110511_2,0,1,73.757,0.8871,218009.0,3552.0,44.0,32.98676801020833
20110511_2,0,4,118.11,0.4746,366650.0,5688.0,44.0,55.47751923518242
20110511_2,0,1,71.597,0.833,205149.0,3448.0,44.0,31.040931661198524
20110511_2,0,1,66.614,0.8973,169152.0,3208.0,44.0,25.594254285202716
20110511_2,0,4,60.529,0.8569,195958.0,2915.0,44.0,29.65024877754773
20110511_2,0,1,73.445,0.89,228411.0,3537.0,44.0,34.56068633854426
20110511_2,0,1,72.635,0.8859,223889.0,3498.0,44.0,33.876466123130385
20110511_2,0,1,25.022,0.7016,77149.0,1205.0,44.0,11.67335369282719
20110511_2,0,1,70.434,0.8849,237563.0,3392.0,44.0,35.945468163282804
20110511_2,0,1,67.756,0.9038,144294.0,3263.0,44.0,21.833010120063854
20110511_2,0,1,43.793,0.7445,136246.0,2109.0,44.0,20.61527365530251
20110511_3,0,1,60.301,0.8303,211617.0,2904.0,61.0,32.019599585412784
20110511_3,0,1,59.097,0.8303,247211.0,2846.0,61.0,37.4052993526488
20110511_3,0,1,69.479,0.9167,228451.0,3346.0,61.0,34.56673870665937
20110511_3,0,1,160.72,0.5639,562154.0,7740.0,61.0,85.05907363462359
20110511_3,0,1,76.124,0.8616,276632.0,3666.0,61.0,41.85696741051952
20110511_3,0,1,71.265,0.8327,250198.0,3432.0,61.0,37.85725994164509
20110511_3,0,1,81.087,0.9338,275451.0,3905.0,61.0,41.67827124192072
20110511_3,0,1,68.295,0.8719,251799.0,3289.0,61.0,38.09950597545261
20110511_3,0,1,129.614,0.5029,466421.0,6242.0,61.0,70.57378971551348
20110511_3,0,1,145.914,0.4648,501317.0,7027.0,61.0,75.85387565914073
20110511_3,0,1,92.279,0.8729,291925.0,4444.0,61.0,44.17093905013127
20110511_3,0,1,90.015,0.8685,258222.0,4335.0,61.0,39.071364985537365
20110511_3,0,1,147.326,0.5834,524464.0,7095.0,61.0,79.3562297781555
20110511_3,0,1,71.41,0.8971,225917.0,3439.0,61.0,34.18332118656677
20110511_3,0,1,76.165,0.8851,252974.0,3668.0,61.0,38.27729428883414
20110511_3,0,1,76.082,0.8681,222783.0,3664.0,61.0,33.70911814474743
20110511_3,0,1,84.534,0.8564,222015.0,4071.0,61.0,33.5929126769372
20110511_3,0,1,74.13,0.9134,244972.0,3570.0,61.0,37.066518047405175
20110511_3,0,1,79.633,0.8938,248034.0,3835.0,61.0,37.52982682661731
20110511_3,0,1,77.951,0.8778,225277.0,3754.0,61.0,34.086483296724914
20110511_3,0,1,59.844,0.9039,188293.0,2882.0,61.0,28.49046373748862
20110511_3,0,1,87.897,0.8601,255637.0,4233.0,61.0,38.68023069609799
20110511_3,0,1,71.909,0.8825,217005.0,3463.0,61.0,32.834853570518916
20110511_3,0,1,83.454,0.8661,231584.0,4019.0,61.0,35.04079043927584
20110511_3,0,1,84.949,0.8806,255259.0,4091.0,61.0,38.62303581741014
20110511_3,0,1,72.76,0.8535,242632.0,3504.0,61.0,36.71245451267089
20110511_3,0,1,82.769,0.8845,230762.0,3986.0,61.0,34.9164142745102
