stem,storage_day,pred_class,class_name,area_px2,area_um2,circularity,V_phi_rad_px2,V_phi_rad_um2,dry_mass_pg
20110511_1,0,1,discocyte,6874.0,142.737,0.3353,868099.0,18025.9108,9553.4796
20110511_1,0,1,discocyte,1667.0,34.615,0.7233,192166.0,3990.2905,2114.7979
20110511_1,0,1,discocyte,2528.0,52.493,0.8037,302737.0,6286.2763,3331.6382
20110511_1,0,1,discocyte,2411.0,50.064,0.776,289025.0,6001.5492,3180.7368
20110511_1,0,1,discocyte,2372.0,49.254,0.8087,289290.0,6007.0519,3183.6532
20110511_1,0,1,discocyte,2178.0,45.226,0.7407,273931.0,5688.1252,3014.6265
20110511_1,0,1,discocyte,2356.0,48.922,0.6195,268737.0,5580.2727,2957.4662
20110511_1,0,1,discocyte,2304.0,47.842,0.7989,285518.0,5928.727,3142.1421
20110511_1,0,1,discocyte,9312.0,193.362,0.3117,1114856.0,23149.773,12269.0547
20110511_1,0,1,discocyte,3135.0,65.098,0.7672,348781.0,7242.3712,3838.3551
20110511_1,0,1,discocyte,865.0,17.962,0.4723,119441.0,2480.1697,1314.4551
20110511_1,0,1,discocyte,2599.0,53.968,0.83,312872.0,6496.7276,3443.1744
20110511_1,0,1,discocyte,2270.0,47.136,0.7629,262452.0,5449.7659,2888.2994
20110511_1,0,1,discocyte,1339.0,27.804,0.7345,186443.0,3871.4535,2051.816
20110511_1,0,1,discocyte,2673.0,55.504,0.8174,319332.0,6630.8683,3514.2671
20110511_1,0,1,discocyte,2606.0,54.113,0.8054,279297.0,5799.5491,3073.6796
20110511_1,0,1,discocyte,2207.0,45.828,0.806,230510.0,4786.4964,2536.7759
20110511_1,0,1,discocyte,2708.0,56.231,0.7938,268223.0,5569.5996,2951.8096
20110511_1,0,1,discocyte,2934.0,60.924,0.8086,290207.0,6026.0932,3193.7448
20110511_1,0,1,discocyte,2477.0,51.434,0.791,268413.0,5573.5449,2953.9006
20110511_1,0,1,discocyte,2018.0,41.903,0.7351,224944.0,4670.9194,2475.5217
20110511_1,0,1,discocyte,2577.0,53.511,0.8319,242986.0,5045.5581,2674.075
20110511_1,0,1,discocyte,1580.0,32.808,0.5811,215751.0,4480.0285,2374.3522
20110511_1,0,1,discocyte,2516.0,52.244,0.7676,289087.0,6002.8366,3181.4191
20110511_1,0,1,discocyte,2163.0,44.914,0.8378,258403.0,5365.6892,2843.7399
20110511_1,0,1,discocyte,3013.0,62.564,0.8013,285434.0,5926.9828,3141.2177
20110511_1,0,1,discocyte,1857.0,38.56,0.8053,248040.0,5150.5035,2729.6945
20110511_1,0,1,discocyte,2695.0,55.961,0.8386,275702.0,5724.8996,3034.1164
20110511_1,0,1,discocyte,2918.0,60.592,0.7729,254389.0,5282.3393,2799.5656
20110511_1,0,1,discocyte,2273.0,47.198,0.7781,234394.0,4867.1469,2579.5195
20110511_1,0,3,spherocyte,2392.0,49.669,0.7639,279404.0,5801.771,3074.8572
20110511_1,0,4,stomatocyte,1763.0,36.608,0.5923,230622.0,4788.822,2538.0084
20110511_1,0,4,stomatocyte,1780.0,36.961,0.718,229265.0,4760.6442,2523.0746
20110511_1,0,4,stomatocyte,835.0,17.339,0.5885,119054.0,2472.1337,1310.1961
20110511_1,0,4,stomatocyte,1166.0,24.212,0.6496,139141.0,2889.2364,1531.2547
20110511_1,0,4,stomatocyte,1999.0,41.509,0.7784,251688.0,5226.2535,2769.841
20110511_1,0,4,stomatocyte,1892.0,39.287,0.7016,238479.0,4951.9711,2624.4752
20110511_1,0,4,stomatocyte,1761.0,36.567,0.7428,217409.0,4514.4566,2392.5986
20110511_2,0,1,discocyte,3354.0,69.645,0.8075,402838.0,8364.8545,4433.2555
20110511_2,0,1,discocyte,6632.0,137.712,0.4245,751717.0,15609.2607,8272.689
20110511_2,0,1,discocyte,3130.0,64.994,0.8082,415134.0,8620.1786,4568.5737
20110511_2,0,1,discocyte,2446.0,50.791,0.487,310486.0,6447.1828,3416.9164
20110511_2,0,1,discocyte,2905.0,60.322,0.8013,338287.0,7024.4653,3722.868
20110511_2,0,1,discocyte,3070.0,63.748,0.7754,386932.0,8034.5695,4258.209
20110511_2,0,1,discocyte,2525.0,52.431,0.8095,342772.0,7117.5955,3772.2257
20110511_2,0,1,discocyte,3190.0,66.24,0.7484,366177.0,7603.5958,4029.799
20110511_2,0,1,discocyte,3354.0,69.645,0.8141,387312.0,8042.4601,4262.3909
20110511_2,0,1,discocyte,3413.0,70.87,0.8007,370316.0,7689.5414,4075.349
20110511_2,0,1,discocyte,3401.0,70.621,0.7603,406865.0,8448.4744,4477.5728
20110511_2,0,1,discocyte,3390.0,70.393,0.789,386071.0,8016.691,4248.7337
20110511_2,0,1,discocyte,3174.0,65.908,0.817,347967.0,7225.4686,3829.3969
20110511_2,0,1,discocyte,3272.0,67.942,0.7892,358242.0,7438.8271,3942.4739
20110511_2,0,1,discocyte,2489.0,51.684,0.7921,290958.0,6041.6876,3202.0096
20110511_2,0,1,discocyte,2864.0,59.47,0.7878,324854.0,6745.5316,3575.037
20110511_2,0,1,discocyte,3240.0,67.278,0.8384,358321.0,7440.4675,3943.3433
20110511_2,0,1,discocyte,3509.0,72.864,0.7424,393485.0,8170.6413,4330.3252
20110511_2,0,1,discocyte,3292.0,68.358,0.815,325872.0,6766.6702,3586.2402
20110511_2,0,1,discocyte,2877.0,59.74,0.8188,286932.0,5958.0885,3157.7032
20110511_2,0,1,discocyte,2151.0,44.665,0.7566,243446.0,5055.1099,2679.1373
20110511_2,0,1,discocyte,3265.0,67.797,0.7862,352183.0,7313.0131,3875.7943
20110511_2,0,1,discocyte,3484.0,72.345,0.7977,355813.0,7388.3893,3915.7426
20110511_2,0,1,discocyte,2590.0,53.781,0.7142,273917.0,5687.8345,3014.4724
20110511_2,0,1,discocyte,3234.0,67.153,0.7667,308341.0,6402.6423,3393.3105
20110511_2,0,1,discocyte,3258.0,67.652,0.7386,363829.0,7554.8401,4003.9592
20110511_2,0,1,discocyte,2244.0,46.596,0.4734,252405.0,5241.1419,2777.7316
20110511_2,0,1,discocyte,3192.0,66.281,0.7893,357766.0,7428.943,3937.2355
20110511_2,0,1,discocyte,3108.0,64.537,0.8172,367012.0,7620.9344,4038.9883
20110511_2,0,1,discocyte,3016.0,62.627,0.7698,272511.0,5658.6391,2998.9993
20110511_2,0,1,discocyte,774.0,16.072,0.7511,89376.0,1855.8757,983.588
20110511_2,0,1,discocyte,1747.0,36.276,0.678,201498.0,4184.0677,2217.4971
20110511_2,0,3,spherocyte,2395.0,49.732,0.7724,309719.0,6431.2562,3408.4755
20110511_2,0,4,stomatocyte,1666.0,34.594,0.5162,264210.0,5486.2705,2907.6463
20110511_2,0,4,stomatocyte,2166.0,44.977,0.7498,248688.0,5163.9591,2736.8258
20110511_3,0,1,discocyte,1062.0,22.052,0.57,160074.0,3323.9062,1761.6236
20110511_3,0,1,discocyte,2897.0,60.156,0.7889,427402.0,8874.9213,4703.5837
20110511_3,0,1,discocyte,3109.0,64.558,0.7671,413181.0,8579.625,4547.0808
20110511_3,0,1,discocyte,3157.0,65.555,0.7809,459134.0,9533.8303,5052.7962
20110511_3,0,1,discocyte,3147.0,65.347,0.7661,435165.0,9036.1185,4789.016
20110511_3,0,1,discocyte,3397.0,70.538,0.7986,473407.0,9830.2064,5209.8714
20110511_3,0,1,discocyte,2954.0,61.339,0.6965,424536.0,8815.4094,4672.0432
20110511_3,0,1,discocyte,5532.0,114.871,0.3903,785280.0,16306.19,8642.0518
20110511_3,0,1,discocyte,2528.0,52.493,0.7774,366696.0,7614.3728,4035.5107
20110511_3,0,1,discocyte,3949.0,82.0,0.7989,525477.0,10911.4301,5782.9047
20110511_3,0,1,discocyte,3709.0,77.017,0.7856,501349.0,10410.4167,5517.3747
20110511_3,0,1,discocyte,3840.0,79.737,0.8033,485496.0,10081.2322,5342.9115
20110511_3,0,1,discocyte,6419.0,133.289,0.4265,894851.0,18581.411,9847.887
20110511_3,0,1,discocyte,3001.0,62.315,0.761,399486.0,8295.2509,4396.3665
20110511_3,0,1,discocyte,3213.0,66.717,0.7925,441959.0,9177.1947,4863.7843
20110511_3,0,1,discocyte,3373.0,70.04,0.7669,425478.0,8834.9698,4682.41
20110511_3,0,1,discocyte,3614.0,75.044,0.8023,438278.0,9100.7594,4823.2747
20110511_3,0,1,discocyte,3008.0,62.461,0.8025,419555.0,8711.9799,4617.227
20110511_3,0,1,discocyte,3182.0,66.074,0.777,435298.0,9038.8803,4790.4796
20110511_3,0,1,discocyte,6258.0,129.946,0.3831,783589.0,16271.0767,8623.4422
20110511_3,0,1,discocyte,3914.0,81.273,0.775,485792.0,10087.3786,5346.169
20110511_3,0,1,discocyte,3060.0,63.54,0.8028,404272.0,8394.6313,4449.0367
20110511_3,0,1,discocyte,2973.0,61.734,0.8148,389544.0,8088.8071,4286.9542
20110511_3,0,1,discocyte,3269.0,67.88,0.781,437885.0,9092.5988,4818.9497
20110511_3,0,1,discocyte,3315.0,68.835,0.829,449906.0,9342.2126,4951.2415
20110511_3,0,1,discocyte,3202.0,66.489,0.7196,418634.0,8692.8555,4607.0914
20110511_3,0,1,discocyte,6946.0,144.232,0.4145,810988.0,16840.0117,8924.9698
20110511_3,0,1,discocyte,3501.0,72.698,0.7888,437610.0,9086.8885,4815.9233
20110511_3,0,1,discocyte,9373.0,194.629,0.3145,1190159.0,24713.4255,13097.7686
20110511_3,0,1,discocyte,2917.0,60.571,0.7933,371784.0,7720.0241,4091.5044
20110511_3,0,1,discocyte,3313.0,68.794,0.8324,415123.0,8619.9502,4568.4526
20110511_3,0,1,discocyte,3230.0,67.07,0.788,371693.0,7718.1345,4090.5029
20110511_3,0,1,discocyte,2344.0,48.673,0.7539,311154.0,6461.0537,3424.2677
20110511_3,0,1,discocyte,1067.0,22.156,0.3749,124567.0,2586.6101,1370.867
20110511_4,0,1,discocyte,1090.0,22.634,0.7153,173189.0,3596.2367,1905.955
20110511_4,0,1,discocyte,7282.0,151.209,0.2764,1063514.0,22083.6661,11704.033
20110511_4,0,1,discocyte,2265.0,47.032,0.8063,330440.0,6861.5238,3636.5113
20110511_4,0,1,discocyte,2571.0,53.386,0.8202,342494.0,7111.8228,3769.1663
20110511_4,0,1,discocyte,2333.0,48.444,0.7954,305663.0,6347.0341,3363.839
20110511_4,0,1,discocyte,2884.0,59.886,0.794,412579.0,8567.1245,4540.4557
20110511_4,0,1,discocyte,2461.0,51.102,0.8108,337255.0,7003.036,3711.5108
20110511_4,0,1,discocyte,2502.0,51.954,0.7889,364491.0,7568.5864,4011.2445
20110511_4,0,1,discocyte,2386.0,49.545,0.8045,389373.0,8085.2564,4285.0724
20110511_4,0,1,discocyte,2588.0,53.739,0.8053,367482.0,7630.6939,4044.1606
20110511_4,0,1,discocyte,2287.0,47.489,0.8112,343086.0,7124.1156,3775.6813
20110511_4,0,1,discocyte,3109.0,64.558,0.8311,423700.0,8798.05,4662.843
20110511_4,0,1,discocyte,2769.0,57.498,0.7501,392603.0,8152.3267,4320.6187
20110511_4,0,1,discocyte,3031.0,62.938,0.755,422738.0,8778.0742,4652.2561
20110511_4,0,1,discocyte,2102.0,43.648,0.8271,302413.0,6279.5485,3328.0725
20110511_4,0,1,discocyte,2794.0,58.017,0.8068,386672.0,8029.1706,4255.3477
20110511_4,0,1,discocyte,2846.0,59.097,0.7937,395367.0,8209.7206,4351.0367
20110511_4,0,1,discocyte,2903.0,60.28,0.7667,368647.0,7654.8849,4056.9815
20110511_4,0,1,discocyte,3803.0,78.969,0.3508,527147.0,10946.1073,5801.2832
20110511_4,0,1,discocyte,2796.0,58.058,0.7914,365747.0,7594.667,4025.0669
20110511_4,0,1,discocyte,2688.0,55.816,0.8055,355794.0,7387.9948,3915.5335
20110511_4,0,1,discocyte,4775.0,99.152,0.3963,651808.0,13534.6693,7173.1847
20110511_4,0,1,discocyte,2695.0,55.961,0.8208,333283.0,6920.5582,3667.7987
20110511_4,0,1,discocyte,1758.0,36.505,0.4492,239405.0,4971.1993,2634.6659
20110511_4,0,1,discocyte,2752.0,57.145,0.8225,350056.0,7268.8463,3852.3865
20110511_4,0,1,discocyte,2947.0,61.194,0.8111,384388.0,7981.7438,4230.2121
20110511_4,0,1,discocyte,2548.0,52.909,0.799,363306.0,7543.9801,3998.2035
20110511_4,0,1,discocyte,1395.0,28.967,0.7712,166524.0,3457.8392,1832.6062
20110511_4,0,4,stomatocyte,1973.0,40.969,0.8293,298661.0,6201.6389,3286.7816
20110511_4,0,4,stomatocyte,1533.0,31.832,0.3729,272104.0,5650.1879,2994.5202
20110511_4,0,4,stomatocyte,1730.0,35.923,0.6662,248529.0,5160.6575,2735.076
20110511_5,0,1,discocyte,2552.0,52.992,0.7446,357110.0,7415.3213,3930.0162
20110511_5,0,1,discocyte,2255.0,46.825,0.7108,315589.0,6553.1456,3473.0752
20110511_5,0,1,discocyte,6179.0,128.306,0.3946,813173.0,16885.3828,8949.0158
20110511_5,0,1,discocyte,3275.0,68.005,0.7997,453867.0,9424.462,4994.8326
