stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
20110511_1,0.0,0.0,1.0,1090.5,0.24909204507577,1539384.0,115.0511245727539,254.0,1539384.0
20110511_2,0.0,0.0,1.0,733.0,0.43985819664985765,1385026.0,112.22964477539062,244.0,1385026.0
20110511_3,0.0,0.0,1.0,1055.0,0.30452155954285337,2043700.0,131.4361114501953,228.0,2043700.0
20110511_4,0.0,0.0,1.0,728.5,0.34127811155550075,1741919.0,139.81210327148438,251.0,1741919.0
20110511_5,0.0,0.0,1.0,499.0,0.5097482981705178,1349720.0,126.04781341552734,253.0,1349720.0
20110511_6,0.0,0.0,1.0,918.5,0.21432159650671512,1548089.0,123.70856475830078,252.0,1548089.0
20110516_1,5.0,0.0,1.0,957.0,0.42771339407059306,1733703.0,114.466064453125,252.0,1733703.0
20110516_2,5.0,0.0,1.0,1031.5,0.23492736875950176,1970768.0,117.4824447631836,248.0,1970768.0
20110516_3,5.0,0.0,1.0,1493.5,0.2507518064912737,2551381.0,116.45355987548828,238.0,2551381.0
20110516_5,5.0,0.0,1.0,1121.5,0.3296920042941082,2072106.0,121.06251525878906,253.0,2072106.0
20110516_6,5.0,0.0,1.0,1019.0,0.35849545999982446,1658327.0,116.18629455566406,230.0,1658327.0
20110516_7,5.0,0.0,1.0,1276.0,0.23941554490828393,2379476.0,134.29710388183594,246.0,2379476.0
20110519_1,8.0,0.0,1.0,2670.5,0.14685521409230406,2239809.0,108.46007537841797,254.0,2239809.0
20110519_10,8.0,0.0,1.0,2145.5,0.17945657523735564,2212204.0,106.29463958740234,201.0,2212204.0
20110519_4,8.0,0.0,1.0,1566.5,0.20195368874932904,1952830.0,108.20201873779297,255.0,1952830.0
20110519_5,8.0,0.0,1.0,1980.5,0.2109720070866355,1578201.0,88.28108978271484,224.0,1578201.0
20110519_7,8.0,0.0,1.0,2334.0,0.13598650331571469,2063293.0,93.55216217041016,244.0,2063293.0
20110519_8,8.0,0.0,1.0,3385.5,0.1080900495278695,1779213.0,92.71080017089844,245.0,1779213.0
20110523_2,12.0,0.0,1.0,1055.0,0.3457269717082036,2182897.0,104.51483917236328,250.0,2182897.0
20110523_3,12.0,0.0,1.0,4072.5,0.08054428555006748,2560148.0,104.55985260009766,229.0,2560148.0
20110523_4,12.0,0.0,1.0,1693.5,0.22242145689956194,2469025.0,121.57294464111328,248.0,2469025.0
