Architecture,Category,Loss Config,Rank,stem,storage_day,gt_class,pred_class,area,circularity,opt_volume,mean_phase,max_phase,dry_mass
edge_sam,FULL_FINETUNE,N/A,0,20110511_1,0.0,0.0,1.0,1396.5,0.2275241582501639,1548033.0,112.58422088623048,254.0,1548033.0
edge_sam,FULL_FINETUNE,N/A,0,20110511_2,0.0,0.0,1.0,717.0,0.4063230415509541,1356727.0,111.91346740722656,244.0,1356727.0
edge_sam,FULL_FINETUNE,N/A,0,20110511_3,0.0,0.0,1.0,1438.0,0.2478350797786283,2042181.0,129.0803985595703,228.0,2042181.0
edge_sam,FULL_FINETUNE,N/A,0,20110511_4,0.0,0.0,1.0,2134.5,0.1156441942071592,1719085.0,138.5576629638672,251.0,1719085.0
edge_sam,FULL_FINETUNE,N/A,0,20110511_5,0.0,0.0,1.0,819.0,0.2148767874180438,1325763.0,125.83171844482422,253.0,1325763.0
edge_sam,FULL_FINETUNE,N/A,0,20110511_6,0.0,0.0,1.0,2064.0,0.2650958345050192,1558829.0,120.9895248413086,252.0,1558829.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_1,5.0,0.0,1.0,975.5,0.3621453405666022,1715543.0,113.18486785888672,252.0,1715543.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_2,5.0,0.0,1.0,1245.5,0.2666643629264364,1952566.0,115.10735321044922,248.0,1952566.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_3,5.0,0.0,1.0,2070.5,0.192268504789123,2514254.0,114.95834350585938,238.0,2514254.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_5,5.0,0.0,1.0,1654.0,0.1591907656717097,2032314.0,120.10602569580078,253.0,2032314.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_6,5.0,0.0,1.0,1413.5,0.242814032262818,1698689.0,114.73751831054688,248.0,1698689.0
edge_sam,FULL_FINETUNE,N/A,0,20110516_7,5.0,0.0,1.0,1416.5,0.227167680719132,2380757.0,132.08816528320312,246.0,2380757.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_1,8.0,0.0,1.0,3386.5,0.0948889012380767,2203308.0,107.23258972167967,254.0,2203308.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_10,8.0,0.0,1.0,3603.5,0.1030159800363236,2232653.0,104.0766830444336,201.0,2232653.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_4,8.0,0.0,1.0,3045.5,0.1651958453430936,1955633.0,106.3190689086914,255.0,1955633.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_5,8.0,0.0,1.0,2928.5,0.2104118074432208,1559590.0,85.55543518066406,224.0,1559590.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_7,8.0,0.0,1.0,3519.5,0.1571072232595734,2022891.0,91.15817260742188,244.0,2022891.0
edge_sam,FULL_FINETUNE,N/A,0,20110519_8,8.0,0.0,1.0,4001.5,0.1414215451403094,1761159.0,90.07103729248047,245.0,1761159.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_2,12.0,0.0,1.0,3417.0,0.1227265623418057,2224931.0,100.77136993408205,250.0,2224931.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_3,12.0,0.0,1.0,9871.5,0.0345124889501918,2614328.0,102.43429565429688,253.0,2614328.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_4,12.0,0.0,1.0,2100.5,0.1928891568681934,2428406.0,120.31937408447266,248.0,2428406.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_6,12.0,0.0,1.0,3254.0,0.1867708112175632,2158743.0,108.82406616210938,246.0,2158743.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_7,12.0,0.0,1.0,2293.0,0.2118587344220961,2276813.0,109.6836395263672,241.0,2276813.0
edge_sam,FULL_FINETUNE,N/A,0,20110523_9,12.0,0.0,1.0,3067.5,0.1264660761331578,2414631.0,105.05703735351562,215.0,2414631.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_2,15.0,0.0,1.0,4759.0,0.0766939592285041,2547199.0,89.70274353027344,254.0,2547199.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_3,15.0,0.0,1.0,8795.0,0.1238171496814678,3367886.0,99.47972106933594,255.0,3367886.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_5,15.0,0.0,1.0,5056.0,0.0707547479441268,3310972.0,96.53823852539062,253.0,3310972.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_6,15.0,0.0,1.0,6755.0,0.0822961177914097,2927569.0,102.78302764892578,251.0,2927569.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_7,15.0,0.0,1.0,4127.0,0.1388456896246561,2958411.0,98.57098388671876,251.0,2958411.0
edge_sam,FULL_FINETUNE,N/A,0,20110526_8,15.0,0.0,1.0,12768.0,0.0418134945572683,3303105.0,96.2134780883789,245.0,3303105.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_4,19.0,0.0,1.0,867.0,0.2655124921076658,1392011.0,113.9031982421875,230.0,1392011.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_5,19.0,0.0,1.0,1024.5,0.4212921892437758,1394014.0,122.76653289794922,252.0,1394014.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_6,19.0,0.0,1.0,1602.5,0.1707884938607343,1599919.0,114.56634521484376,230.0,1599919.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_7,19.0,0.0,1.0,1375.0,0.3279436289354864,1676250.0,115.84312438964844,252.0,1676250.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_8,19.0,0.0,1.0,1558.0,0.1853634475593841,1756253.0,118.01189422607422,254.0,1756253.0
edge_sam,FULL_FINETUNE,N/A,0,20110530_9,19.0,0.0,1.0,1019.5,0.2991247225611189,1201324.0,118.9311981201172,255.0,1201324.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_1,23.0,0.0,1.0,322.5,0.3239966005613512,544142.0,121.92292022705078,227.0,544142.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_10,23.0,0.0,1.0,1439.0,0.2376886930553041,1321195.0,155.12445068359375,255.0,1321195.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_3,23.0,0.0,1.0,834.0,0.4340010992537217,1264420.0,140.11746215820312,239.0,1264420.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_5,23.0,0.0,1.0,784.0,0.3444875183879116,1524934.0,139.5565185546875,254.0,1524934.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_6,23.0,0.0,1.0,779.5,0.4680311339991813,1344736.0,145.48696899414062,255.0,1344736.0
edge_sam,FULL_FINETUNE,N/A,0,20110603_9,23.0,0.0,1.0,630.5,0.5752932169508326,1116404.0,139.16778564453125,236.0,1116404.0
edge_sam,FULL_FINETUNE,N/A,0,20110607_1,27.0,0.0,1.0,592.0,0.4373211842900642,723557.0,123.6215591430664,255.0,723557.0
edge_sam,FULL_FINETUNE,N/A,0,20110607_2,27.0,0.0,1.0,709.5,0.2997402242620762,779663.0,123.13060760498048,253.0,779663.0
