stem,storage_day,gt_class,pred_class,area,circularity,opt_volume
20110511_1,0,0,3,1501.0,0.30409139573290994,1661542.0
20110511_2,0,0,3,1009.5,0.2465967016979003,1451136.0
20110511_3,0,0,3,1894.5,0.20380120574702254,2113505.0
20110511_4,0,0,3,3674.0,0.15093012160581418,1890479.0
20110511_5,0,0,3,1218.5,0.27192733492687654,1428765.0
20110511_6,0,0,3,2645.0,0.22504802583618258,1672156.0
20110516_1,5,0,3,1065.0,0.42595458745551074,1809197.0
20110516_2,5,0,3,1549.5,0.22308325619527228,2072819.0
20110516_3,5,0,3,3178.0,0.12189244082934109,2634253.0
20110516_5,5,0,3,2132.5,0.10520674836918877,2155303.0
20110516_6,5,0,3,3182.0,0.15259086045359366,1833350.0
20110516_7,5,0,3,1643.0,0.23064071877630268,2475087.0
20110519_1,8,0,3,4891.0,0.11372136238529071,2272645.0
20110519_10,8,0,3,3958.5,0.09090207336090052,2287308.0
20110519_4,8,0,3,3409.0,0.10185240714991656,2038039.0
20110519_5,8,0,3,3616.5,0.17783549762265705,1626620.0
20110519_7,8,0,3,3349.5,0.1203191364736206,2104061.0
20110519_8,8,0,3,4000.0,0.12232848569199697,1847363.0
20110523_2,12,0,3,3689.0,0.10624979406120845,2257488.0
20110523_3,12,0,3,13082.5,0.029232528223575593,2691840.0
20110523_4,12,0,3,2192.0,0.2045173905482279,2547831.0
20110523_6,12,0,3,4900.5,0.09369379331543819,2242346.0
20110523_7,12,0,3,2891.5,0.13697992160736833,2364602.0
20110523_9,12,0,3,3617.0,0.11407655528373706,2621440.0
20110526_2,15,0,3,4492.0,0.124674601656552,2589015.0
20110526_3,15,0,3,18886.5,0.03902940712267857,3411390.0
20110526_5,15,0,3,8609.5,0.09549460408856393,3407279.0
20110526_6,15,0,3,10111.0,0.05392812344703718,3013425.0
20110526_7,15,0,3,6155.5,0.08318301124038989,2988330.0
20110526_8,15,0,3,11260.5,0.04600726937903544,3346727.0
20110530_4,19,0,3,890.0,0.3559620496107085,1533160.0
20110530_5,19,0,3,1467.5,0.35223579202265476,1589075.0
20110530_6,19,0,3,1290.5,0.23903362693645402,1767943.0
20110530_7,19,0,3,1728.0,0.2169550640259758,1833217.0
20110530_8,19,0,3,1998.5,0.2518488528997631,1952308.0
20110530_9,19,0,3,820.0,0.3689816898656829,1314407.0
20110603_1,23,0,3,373.0,0.42148041179469214,539885.0
20110603_10,23,0,3,1489.5,0.24197508832764394,1515020.0
20110603_3,23,0,3,1752.0,0.23204582929535242,1459547.0
20110603_5,23,0,3,885.5,0.34536772335231225,1658679.0
20110603_6,23,0,3,1286.0,0.18152970898245738,1505891.0
20110603_9,23,0,3,761.5,0.44866937599742296,1274051.0
20110607_1,27,0,3,1226.0,0.1821183887801325,868575.0
20110607_2,27,0,3,771.5,0.3283175770912089,903313.0
20110607_3,27,0,3,979.0,0.2828101208426594,911246.0
20110607_4,27,0,3,945.0,0.2805457657662185,850277.0
20110607_7,27,0,3,1154.5,0.32034275990717515,1490209.0
20110607_9,27,0,3,1440.5,0.22347157615772253,1261135.0
20110610_1,30,0,3,2808.0,0.12217353223605501,2244055.0
20110610_10,30,0,3,1125.0,0.3271354204341101,1501468.0
20110610_3,30,0,3,3824.0,0.07069237602597708,1995931.0
20110610_4,30,0,3,2804.5,0.12175567964849636,1980035.0
20110610_6,30,0,3,1161.0,0.3124638905132059,1880497.0
20110610_9,30,0,3,1360.5,0.17326215424152014,1263738.0
20110617_1,37,0,3,916.5,0.327605731858497,969757.0
20110617_10,37,0,3,461.5,0.4619795286933666,642417.0
20110617_3,37,0,3,1510.5,0.18698695975984161,1418895.0
20110617_6,37,0,3,1302.0,0.32885277223901876,1386235.0
20110617_8,37,0,3,597.5,0.5098354185434077,1094973.0
20110617_9,37,0,3,846.0,0.25697523690461904,806506.0
20110627_1,47,0,3,857.5,0.36994270442012667,1314683.0
20110627_10,47,0,3,2303.0,0.10496773189653617,1404124.0
20110627_3,47,0,3,997.0,0.24480614179029722,1619978.0
20110627_4,47,0,3,886.5,0.2677328724695129,1283254.0
20110627_5,47,0,3,1172.5,0.22545840248176688,1202719.0
20110627_6,47,0,3,1613.5,0.1478933881573323,1109735.0
